FIR_Number,Crime_Head,Applicable_Law,Section,MO_Description
FIR-454/2025-022c,Theft,BNS 2023,224,Stole copper wires from a construction site in Tumakuru Town PS
FIR-824/2026-1040,Theft,BNS 2023,233,Pickpocketed mobile phone at a crowded market in Koramangala PS
FIR-306/2026-507e,Cheating,BNS 2023,379,Promised a job and took advance money in Saraswathipuram PS
FIR-511/2025-006a,Assault,BNS 2023,144,Group clash using sticks and stones in Tumakuru Town PS
FIR-366/2026-2a7a,Cyber Crime,BNS 2023,343,Sent phishing link offering fake loan
FIR-136/2026-9ad6,Cyber Crime,BNS 2023,292,Romance scam on dating app leading to crypto transfer
FIR-559/2025-583a,Robbery,BNS 2023,229,Broke into house and stole valuables in Tilakwadi PS
FIR-248/2026-e4e2,POCSO,BNS 2023,232,Groomed minor over social media
FIR-936/2026-6693,Cyber Crime,BNS 2023,305,Tricked victim into sharing OTP over phone call
FIR-179/2026-eb9a,Theft,BNS 2023,179,Stole copper wires from a construction site in Dharwad Suburban PS
FIR-913/2025-b25c,Assault,BNS 2023,308,Physical altercation over property dispute in Dharwad Suburban PS
FIR-573/2026-f6e0,Robbery,BNS 2023,215,Threatened with a knife and stole wallet at Tumakuru Town PS
FIR-883/2025-fc4e,NDPS,BNS 2023,114,Caught selling marijuana packets near college in Hubballi Town PS
FIR-447/2025-cf39,Cyber Crime,BNS 2023,210,Sent phishing link offering fake loan
FIR-599/2025-01be,Cheating,BNS 2023,169,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-343/2026-9a6c,NDPS,BNS 2023,239,Caught selling marijuana packets near college in Khadebazar PS
FIR-658/2025-e6a5,NDPS,BNS 2023,116,Found possessing cocaine at a rave party in Dharwad Suburban PS
FIR-752/2025-6350,NDPS,BNS 2023,134,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-801/2026-c73c,Cyber Crime,BNS 2023,177,Romance scam on dating app leading to crypto transfer
FIR-298/2026-3a5f,Assault,BNS 2023,295,Group clash using sticks and stones in Kyathasandra PS
FIR-959/2026-40f3,Cyber Crime,BNS 2023,331,Tricked victim into sharing OTP over phone call
FIR-838/2026-d88d,NDPS,BNS 2023,363,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-130/2026-cc9a,Assault,BNS 2023,255,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-429/2026-dade,Cyber Crime,BNS 2023,309,Tricked victim into sharing OTP over phone call
FIR-535/2026-ea71,POCSO,BNS 2023,302,Harassed minor in the neighborhood of Dharwad Suburban PS
FIR-177/2025-d570,POCSO,BNS 2023,194,Assaulted minor on the way to school near Tilakwadi PS
FIR-136/2026-920b,Assault,BNS 2023,355,Physical altercation over property dispute in Hubballi Town PS
FIR-156/2025-fe2b,Assault,BNS 2023,100,Group clash using sticks and stones in Tilakwadi PS
FIR-800/2026-25a6,Theft,BNS 2023,354,Stole copper wires from a construction site in Tumakuru Town PS
FIR-465/2026-f5aa,POCSO,BNS 2023,133,Harassed minor in the neighborhood of Vidyanagar PS
FIR-219/2025-ec71,Theft,BNS 2023,168,Pickpocketed mobile phone at a crowded market in Devaraja PS
FIR-520/2025-8a34,NDPS,BNS 2023,330,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-184/2026-ad83,Assault,BNS 2023,249,Road rage incident leading to severe injuries near Kyathasandra PS
FIR-176/2026-8675,Theft,BNS 2023,336,Pickpocketed mobile phone at a crowded market in Kyathasandra PS
FIR-471/2025-21ba,Robbery,BNS 2023,373,Snatched gold chain while victim was walking near Dharwad Suburban PS
FIR-531/2026-7d98,Cheating,BNS 2023,297,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-553/2025-02bc,Murder,BNS 2023,204,Attacked with a sharp weapon at night near Hubballi Town PS
FIR-690/2026-5eca,Assault,BNS 2023,242,Group clash using sticks and stones in Tumakuru Town PS
FIR-664/2025-dbe2,Cyber Crime,BNS 2023,236,Sent phishing link offering fake loan
FIR-499/2025-06a2,Assault,BNS 2023,241,Group clash using sticks and stones in Tilakwadi PS
FIR-704/2025-8112,Cheating,BNS 2023,370,Promised a job and took advance money in Tumakuru Town PS
FIR-288/2026-d412,Theft,BNS 2023,307,Stole parked two-wheeler from Kyathasandra PS
FIR-277/2025-4441,Theft,BNS 2023,299,Stole parked two-wheeler from Tumakuru Town PS
FIR-761/2026-6dfd,Murder,BNS 2023,391,Attacked with a sharp weapon at night near Kyathasandra PS
FIR-626/2026-1128,Assault,BNS 2023,152,Group clash using sticks and stones in Tilakwadi PS
FIR-837/2025-84f9,NDPS,BNS 2023,223,Smuggling synthetic drugs in a hidden compartment near Cubbon Park PS
FIR-655/2025-7230,Murder,BNS 2023,213,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-478/2026-877e,Cheating,BNS 2023,224,Promised a job and took advance money in Tumakuru Town PS
FIR-160/2025-4393,POCSO,BNS 2023,263,Harassed minor in the neighborhood of Vidyanagar PS
FIR-516/2025-aebf,NDPS,BNS 2023,379,Found possessing cocaine at a rave party in Malleswaram PS
FIR-968/2025-e28c,Theft,BNS 2023,177,Stole copper wires from a construction site in Indiranagar PS
FIR-374/2025-4c68,Cheating,BNS 2023,235,Sold fake property documents to victim in Dharwad Suburban PS
FIR-684/2026-c590,Robbery,BNS 2023,169,Broke into house and stole valuables in Cubbon Park PS
FIR-950/2026-a4e4,Robbery,BNS 2023,340,Threatened with a knife and stole wallet at Tilakwadi PS
FIR-358/2025-7250,Murder,BNS 2023,154,Poisoned during a family dispute at Dharwad Suburban PS
FIR-744/2025-63cd,Murder,BNS 2023,109,Poisoned during a family dispute at Belagavi Camp PS
FIR-483/2025-849a,Cheating,BNS 2023,153,Sold fake property documents to victim in Vidyanagar PS
FIR-552/2026-9f61,POCSO,BNS 2023,232,Harassed minor in the neighborhood of Tumakuru Town PS
FIR-136/2026-19b3,Murder,BNS 2023,162,Attacked with a sharp weapon at night near Malleswaram PS
FIR-598/2025-b505,Cyber Crime,BNS 2023,283,Tricked victim into sharing OTP over phone call
FIR-994/2025-7ff3,Cyber Crime,BNS 2023,284,Tricked victim into sharing OTP over phone call
FIR-424/2026-2777,Murder,BNS 2023,169,Poisoned during a family dispute at Tilakwadi PS
FIR-346/2025-b37a,Cyber Crime,BNS 2023,273,Romance scam on dating app leading to crypto transfer
FIR-649/2026-4bdc,NDPS,BNS 2023,364,Found possessing cocaine at a rave party in Devaraja PS
FIR-993/2026-a480,POCSO,BNS 2023,192,Harassed minor in the neighborhood of Kuvempunagar PS
FIR-914/2025-937d,POCSO,BNS 2023,103,Harassed minor in the neighborhood of Malleswaram PS
FIR-366/2026-6075,Assault,BNS 2023,205,Physical altercation over property dispute in Kyathasandra PS
FIR-174/2026-cc51,Murder,BNS 2023,355,Stabbed after a drunken brawl in Koramangala PS
FIR-477/2025-d404,Robbery,BNS 2023,274,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-323/2025-e4c0,Theft,BNS 2023,315,Stole parked two-wheeler from Hubballi Town PS
FIR-158/2025-cd1e,Assault,BNS 2023,253,Road rage incident leading to severe injuries near Hubballi Town PS
FIR-677/2026-c345,NDPS,BNS 2023,267,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-662/2026-ecc5,POCSO,BNS 2023,246,Groomed minor over social media
FIR-284/2025-b13c,Robbery,BNS 2023,184,Snatched gold chain while victim was walking near Malleswaram PS
FIR-965/2025-6253,Theft,BNS 2023,287,Stole parked two-wheeler from Cubbon Park PS
FIR-539/2025-6789,Cyber Crime,BNS 2023,287,Tricked victim into sharing OTP over phone call
FIR-273/2026-3e63,NDPS,BNS 2023,174,Caught selling marijuana packets near college in Khadebazar PS
FIR-840/2026-6d42,NDPS,BNS 2023,306,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-159/2026-b407,Murder,BNS 2023,222,Poisoned during a family dispute at Tilakwadi PS
FIR-758/2026-2b76,Robbery,BNS 2023,246,Snatched gold chain while victim was walking near Khadebazar PS
FIR-828/2026-80fa,Cyber Crime,BNS 2023,251,Romance scam on dating app leading to crypto transfer
FIR-482/2026-947a,POCSO,BNS 2023,313,Groomed minor over social media
FIR-680/2025-bd9d,Theft,BNS 2023,390,Stole copper wires from a construction site in Tumakuru Town PS
FIR-580/2025-7295,Murder,BNS 2023,218,Stabbed after a drunken brawl in Tumakuru Town PS
FIR-346/2025-3afb,NDPS,BNS 2023,140,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-543/2025-69f9,NDPS,BNS 2023,205,Found possessing cocaine at a rave party in Kuvempunagar PS
FIR-126/2025-8463,Theft,BNS 2023,158,Stole parked two-wheeler from Devaraja PS
FIR-574/2025-7c04,Murder,BNS 2023,283,Attacked with a sharp weapon at night near Dharwad Suburban PS
FIR-269/2025-831b,Assault,BNS 2023,273,Road rage incident leading to severe injuries near Indiranagar PS
FIR-120/2026-652b,POCSO,BNS 2023,235,Groomed minor over social media
FIR-375/2025-7a6b,POCSO,BNS 2023,168,Harassed minor in the neighborhood of Tumakuru Town PS
FIR-752/2026-e2e4,POCSO,BNS 2023,344,Groomed minor over social media
FIR-508/2025-b1fb,Robbery,BNS 2023,386,Broke into house and stole valuables in Hubballi Town PS
FIR-606/2025-894a,Murder,BNS 2023,212,Stabbed after a drunken brawl in Dharwad Suburban PS
FIR-597/2025-72ad,Cheating,BNS 2023,184,Chit fund scam defrauding multiple investors in Koramangala PS
FIR-117/2025-bab3,Assault,BNS 2023,266,Group clash using sticks and stones in Vidyanagar PS
FIR-884/2025-c8eb,NDPS,BNS 2023,375,Caught selling marijuana packets near college in Kyathasandra PS
FIR-665/2025-bab9,Theft,BNS 2023,363,Stole parked two-wheeler from Cubbon Park PS
FIR-302/2025-44f2,Assault,BNS 2023,120,Group clash using sticks and stones in Hubballi Town PS
FIR-447/2026-58b0,Murder,BNS 2023,160,Poisoned during a family dispute at Hubballi Town PS
FIR-253/2025-0124,Cheating,BNS 2023,318,Promised a job and took advance money in Cubbon Park PS
FIR-636/2026-39bd,Assault,BNS 2023,173,Road rage incident leading to severe injuries near Malleswaram PS
FIR-571/2026-90f2,POCSO,BNS 2023,122,Assaulted minor on the way to school near Kyathasandra PS
FIR-393/2026-16b6,Murder,BNS 2023,230,Stabbed after a drunken brawl in Dharwad Suburban PS
FIR-188/2025-8182,Cyber Crime,BNS 2023,321,Tricked victim into sharing OTP over phone call
FIR-173/2025-5b5c,Murder,BNS 2023,286,Stabbed after a drunken brawl in Indiranagar PS
FIR-417/2026-b10a,Theft,BNS 2023,193,Stole copper wires from a construction site in Dharwad Suburban PS
FIR-996/2026-05c6,Cyber Crime,BNS 2023,135,Romance scam on dating app leading to crypto transfer
FIR-864/2026-42c5,POCSO,BNS 2023,297,Groomed minor over social media
FIR-504/2025-b0f6,POCSO,BNS 2023,368,Harassed minor in the neighborhood of Cubbon Park PS
FIR-233/2026-aa2a,Cheating,BNS 2023,105,Promised a job and took advance money in Belagavi Camp PS
FIR-896/2025-4473,Theft,BNS 2023,204,Pickpocketed mobile phone at a crowded market in Koramangala PS
FIR-658/2025-d810,Cheating,BNS 2023,322,Promised a job and took advance money in Belagavi Camp PS
FIR-378/2025-e0be,Robbery,BNS 2023,181,Broke into house and stole valuables in Kuvempunagar PS
FIR-528/2026-3d5b,POCSO,BNS 2023,187,Assaulted minor on the way to school near Khadebazar PS
FIR-419/2025-ea3c,Murder,BNS 2023,285,Stabbed after a drunken brawl in Khadebazar PS
FIR-432/2025-7b1f,POCSO,BNS 2023,256,Groomed minor over social media
FIR-661/2026-6ccc,Robbery,BNS 2023,258,Threatened with a knife and stole wallet at Hubballi Town PS
FIR-857/2025-edcb,Murder,BNS 2023,101,Attacked with a sharp weapon at night near Belagavi Camp PS
FIR-284/2026-cdd6,Assault,BNS 2023,142,Group clash using sticks and stones in Vidyanagar PS
FIR-628/2025-c60f,POCSO,BNS 2023,367,Assaulted minor on the way to school near Hubballi Town PS
FIR-780/2026-bbc9,POCSO,BNS 2023,224,Assaulted minor on the way to school near Tilakwadi PS
FIR-311/2025-120e,Murder,BNS 2023,150,Attacked with a sharp weapon at night near Tumakuru Town PS
FIR-592/2025-dd78,Robbery,BNS 2023,183,Broke into house and stole valuables in Kyathasandra PS
FIR-537/2025-c880,NDPS,BNS 2023,396,Caught selling marijuana packets near college in Tilakwadi PS
FIR-678/2026-1dbd,Robbery,BNS 2023,290,Threatened with a knife and stole wallet at Hubballi Town PS
FIR-125/2026-5196,Cyber Crime,BNS 2023,261,Tricked victim into sharing OTP over phone call
FIR-698/2025-45a8,Cyber Crime,BNS 2023,199,Tricked victim into sharing OTP over phone call
FIR-468/2026-7ab6,NDPS,BNS 2023,116,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-315/2025-21c5,NDPS,BNS 2023,342,Caught selling marijuana packets near college in Koramangala PS
FIR-739/2025-6d6d,NDPS,BNS 2023,327,Found possessing cocaine at a rave party in Koramangala PS
FIR-361/2026-627d,POCSO,BNS 2023,277,Groomed minor over social media
FIR-574/2026-7645,Cheating,BNS 2023,160,Sold fake property documents to victim in Indiranagar PS
FIR-561/2026-4f3c,NDPS,BNS 2023,391,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-787/2026-f63f,Cheating,BNS 2023,339,Sold fake property documents to victim in Kyathasandra PS
FIR-334/2026-c7bf,POCSO,BNS 2023,195,Groomed minor over social media
FIR-626/2026-73d4,Theft,BNS 2023,341,Pickpocketed mobile phone at a crowded market in Tumakuru Town PS
FIR-187/2025-72e9,POCSO,BNS 2023,255,Harassed minor in the neighborhood of Hubballi Town PS
FIR-358/2025-3563,Murder,BNS 2023,350,Stabbed after a drunken brawl in Kyathasandra PS
FIR-341/2025-d3df,NDPS,BNS 2023,388,Smuggling synthetic drugs in a hidden compartment near Devaraja PS
FIR-902/2025-fb9f,Theft,BNS 2023,359,Pickpocketed mobile phone at a crowded market in Saraswathipuram PS
FIR-205/2026-6dcf,Assault,BNS 2023,346,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-803/2026-966d,Assault,BNS 2023,307,Road rage incident leading to severe injuries near Kuvempunagar PS
FIR-885/2026-105d,Assault,BNS 2023,302,Group clash using sticks and stones in Khadebazar PS
FIR-368/2026-b07b,POCSO,BNS 2023,239,Harassed minor in the neighborhood of Dharwad Suburban PS
FIR-713/2025-3362,Robbery,BNS 2023,331,Threatened with a knife and stole wallet at Devaraja PS
FIR-609/2026-afc2,Robbery,BNS 2023,135,Threatened with a knife and stole wallet at Vidyanagar PS
FIR-916/2026-0a39,NDPS,BNS 2023,255,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-577/2026-a531,Cyber Crime,BNS 2023,319,Sent phishing link offering fake loan
FIR-549/2026-c507,NDPS,BNS 2023,284,Smuggling synthetic drugs in a hidden compartment near Khadebazar PS
FIR-363/2025-dda5,Murder,BNS 2023,311,Poisoned during a family dispute at Koramangala PS
FIR-457/2026-762c,Cyber Crime,BNS 2023,296,Sent phishing link offering fake loan
FIR-146/2026-ec45,POCSO,BNS 2023,169,Groomed minor over social media
FIR-522/2025-12aa,Theft,BNS 2023,236,Stole copper wires from a construction site in Khadebazar PS
FIR-263/2025-b508,Cyber Crime,BNS 2023,326,Romance scam on dating app leading to crypto transfer
FIR-887/2026-3464,NDPS,BNS 2023,345,Caught selling marijuana packets near college in Dharwad Suburban PS
FIR-447/2025-f1c4,Cheating,BNS 2023,359,Chit fund scam defrauding multiple investors in Dharwad Suburban PS
FIR-960/2025-2b89,POCSO,BNS 2023,383,Groomed minor over social media
FIR-116/2025-bf18,Robbery,BNS 2023,372,Snatched gold chain while victim was walking near Kyathasandra PS
FIR-863/2025-304e,Theft,BNS 2023,219,Pickpocketed mobile phone at a crowded market in Belagavi Camp PS
FIR-360/2025-4b97,NDPS,BNS 2023,383,Smuggling synthetic drugs in a hidden compartment near Tilakwadi PS
FIR-127/2026-dda4,Assault,BNS 2023,366,Physical altercation over property dispute in Tumakuru Town PS
FIR-108/2026-3f24,Cyber Crime,BNS 2023,335,Tricked victim into sharing OTP over phone call
FIR-353/2026-15cd,POCSO,BNS 2023,208,Assaulted minor on the way to school near Devaraja PS
FIR-461/2025-cbcd,Cyber Crime,BNS 2023,130,Romance scam on dating app leading to crypto transfer
FIR-436/2025-3462,Assault,BNS 2023,245,Group clash using sticks and stones in Tilakwadi PS
FIR-224/2025-af39,Theft,BNS 2023,398,Stole parked two-wheeler from Cubbon Park PS
FIR-567/2026-f3c3,Cyber Crime,BNS 2023,372,Romance scam on dating app leading to crypto transfer
FIR-943/2025-29e2,Murder,BNS 2023,223,Attacked with a sharp weapon at night near Hubballi Town PS
FIR-199/2025-93e7,NDPS,BNS 2023,135,Found possessing cocaine at a rave party in Vidyanagar PS
FIR-817/2026-6de4,Cheating,BNS 2023,320,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-862/2026-e033,POCSO,BNS 2023,216,Assaulted minor on the way to school near Vidyanagar PS
FIR-722/2025-80c0,Robbery,BNS 2023,213,Broke into house and stole valuables in Saraswathipuram PS
FIR-703/2025-35b4,Theft,BNS 2023,321,Stole parked two-wheeler from Malleswaram PS
FIR-675/2025-0e6f,POCSO,BNS 2023,363,Assaulted minor on the way to school near Tilakwadi PS
FIR-976/2025-0244,Cheating,BNS 2023,289,Sold fake property documents to victim in Belagavi Camp PS
FIR-122/2026-e0d1,NDPS,BNS 2023,374,Caught selling marijuana packets near college in Khadebazar PS
FIR-242/2025-a83c,NDPS,BNS 2023,285,Smuggling synthetic drugs in a hidden compartment near Khadebazar PS
FIR-400/2026-6126,Robbery,BNS 2023,397,Broke into house and stole valuables in Saraswathipuram PS
FIR-386/2025-43ff,NDPS,BNS 2023,288,Found possessing cocaine at a rave party in Koramangala PS
FIR-454/2026-39c4,NDPS,BNS 2023,263,Caught selling marijuana packets near college in Devaraja PS
FIR-456/2026-383d,Theft,BNS 2023,109,Pickpocketed mobile phone at a crowded market in Tumakuru Town PS
FIR-522/2026-c35e,Cyber Crime,BNS 2023,353,Romance scam on dating app leading to crypto transfer
FIR-216/2025-e3c5,Theft,BNS 2023,248,Stole parked two-wheeler from Kuvempunagar PS
FIR-646/2026-c00a,Murder,BNS 2023,397,Stabbed after a drunken brawl in Malleswaram PS
FIR-395/2026-9253,NDPS,BNS 2023,282,Found possessing cocaine at a rave party in Kyathasandra PS
FIR-720/2025-78bc,Assault,BNS 2023,361,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-516/2026-74d5,Theft,BNS 2023,352,Stole copper wires from a construction site in Belagavi Camp PS
FIR-825/2026-8644,Cyber Crime,BNS 2023,311,Tricked victim into sharing OTP over phone call
FIR-469/2025-55dd,Cheating,BNS 2023,174,Promised a job and took advance money in Vidyanagar PS
FIR-456/2025-be19,POCSO,BNS 2023,298,Harassed minor in the neighborhood of Hubballi Town PS
FIR-289/2026-2faf,Cyber Crime,BNS 2023,137,Sent phishing link offering fake loan
FIR-876/2025-169f,Robbery,BNS 2023,384,Broke into house and stole valuables in Devaraja PS
FIR-205/2026-d042,Murder,BNS 2023,301,Poisoned during a family dispute at Belagavi Camp PS
FIR-644/2026-9c0e,Theft,BNS 2023,127,Stole copper wires from a construction site in Indiranagar PS
FIR-299/2026-a405,Theft,BNS 2023,381,Stole parked two-wheeler from Kyathasandra PS
FIR-233/2025-2f47,POCSO,BNS 2023,353,Assaulted minor on the way to school near Devaraja PS
FIR-906/2025-ec35,Robbery,BNS 2023,302,Threatened with a knife and stole wallet at Saraswathipuram PS
FIR-987/2025-2c6d,Assault,BNS 2023,247,Physical altercation over property dispute in Indiranagar PS
FIR-636/2025-1be3,Murder,BNS 2023,271,Poisoned during a family dispute at Kyathasandra PS
FIR-668/2026-11b4,Cyber Crime,BNS 2023,228,Romance scam on dating app leading to crypto transfer
FIR-871/2026-210b,Cheating,BNS 2023,302,Chit fund scam defrauding multiple investors in Malleswaram PS
FIR-267/2026-f321,Theft,BNS 2023,395,Stole copper wires from a construction site in Tumakuru Town PS
FIR-972/2025-d90d,Theft,BNS 2023,125,Stole parked two-wheeler from Indiranagar PS
FIR-578/2025-8618,POCSO,BNS 2023,159,Assaulted minor on the way to school near Tumakuru Town PS
FIR-396/2025-b2fd,Robbery,BNS 2023,177,Snatched gold chain while victim was walking near Devaraja PS
FIR-176/2025-0b6c,POCSO,BNS 2023,384,Groomed minor over social media
FIR-327/2025-4918,Murder,BNS 2023,181,Poisoned during a family dispute at Malleswaram PS
FIR-406/2025-d3a1,Theft,BNS 2023,381,Stole copper wires from a construction site in Saraswathipuram PS
FIR-771/2026-be7e,Robbery,BNS 2023,162,Broke into house and stole valuables in Hubballi Town PS
FIR-516/2025-c998,Cheating,BNS 2023,259,Chit fund scam defrauding multiple investors in Kyathasandra PS
FIR-538/2026-27ed,Assault,BNS 2023,139,Group clash using sticks and stones in Tumakuru Town PS
FIR-624/2025-03f9,Cheating,BNS 2023,389,Sold fake property documents to victim in Koramangala PS
FIR-226/2025-51ec,Cyber Crime,BNS 2023,234,Tricked victim into sharing OTP over phone call
FIR-550/2025-6ffd,Cheating,BNS 2023,242,Promised a job and took advance money in Vidyanagar PS
FIR-135/2025-a46e,POCSO,BNS 2023,395,Groomed minor over social media
FIR-397/2026-1f77,POCSO,BNS 2023,253,Groomed minor over social media
FIR-479/2026-9e60,Cyber Crime,BNS 2023,277,Sent phishing link offering fake loan
FIR-628/2025-7f0a,Murder,BNS 2023,270,Stabbed after a drunken brawl in Kyathasandra PS
FIR-576/2026-12f9,POCSO,BNS 2023,186,Harassed minor in the neighborhood of Dharwad Suburban PS
FIR-449/2026-8a78,Cyber Crime,BNS 2023,106,Romance scam on dating app leading to crypto transfer
FIR-386/2025-b6b8,POCSO,BNS 2023,107,Assaulted minor on the way to school near Cubbon Park PS
FIR-940/2025-9063,Cyber Crime,BNS 2023,136,Tricked victim into sharing OTP over phone call
FIR-485/2025-9c71,Cheating,BNS 2023,236,Chit fund scam defrauding multiple investors in Tumakuru Town PS
FIR-524/2025-cb4d,Cyber Crime,BNS 2023,204,Romance scam on dating app leading to crypto transfer
FIR-254/2026-6633,Assault,BNS 2023,372,Group clash using sticks and stones in Saraswathipuram PS
FIR-688/2025-06cd,Assault,BNS 2023,206,Group clash using sticks and stones in Vidyanagar PS
FIR-892/2026-7bd0,Cyber Crime,BNS 2023,379,Sent phishing link offering fake loan
FIR-576/2025-996e,POCSO,BNS 2023,331,Groomed minor over social media
FIR-980/2025-f5fb,Robbery,BNS 2023,235,Snatched gold chain while victim was walking near Belagavi Camp PS
FIR-623/2025-0f4e,Theft,BNS 2023,370,Stole copper wires from a construction site in Kuvempunagar PS
FIR-114/2026-5ca8,NDPS,BNS 2023,363,Smuggling synthetic drugs in a hidden compartment near Tilakwadi PS
FIR-847/2026-9cdb,Cyber Crime,BNS 2023,305,Sent phishing link offering fake loan
FIR-917/2026-86ac,Murder,BNS 2023,330,Poisoned during a family dispute at Malleswaram PS
FIR-344/2026-c866,Cheating,BNS 2023,194,Chit fund scam defrauding multiple investors in Khadebazar PS
FIR-783/2025-8154,Theft,BNS 2023,171,Stole copper wires from a construction site in Cubbon Park PS
FIR-400/2025-979b,Theft,BNS 2023,209,Pickpocketed mobile phone at a crowded market in Kyathasandra PS
FIR-967/2026-107a,Assault,BNS 2023,323,Road rage incident leading to severe injuries near Khadebazar PS
FIR-107/2025-8837,Murder,BNS 2023,153,Attacked with a sharp weapon at night near Malleswaram PS
FIR-731/2025-e9dd,Murder,BNS 2023,195,Poisoned during a family dispute at Khadebazar PS
FIR-178/2026-7572,Cyber Crime,BNS 2023,136,Tricked victim into sharing OTP over phone call
FIR-587/2026-f807,Assault,BNS 2023,275,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-354/2026-c5f6,Robbery,BNS 2023,358,Threatened with a knife and stole wallet at Indiranagar PS
FIR-616/2025-0993,Assault,BNS 2023,264,Road rage incident leading to severe injuries near Cubbon Park PS
FIR-786/2026-5c91,Cheating,BNS 2023,280,Sold fake property documents to victim in Kyathasandra PS
FIR-926/2025-7d25,Assault,BNS 2023,239,Physical altercation over property dispute in Belagavi Camp PS
FIR-671/2025-da9c,Cyber Crime,BNS 2023,164,Romance scam on dating app leading to crypto transfer
FIR-245/2026-8804,Theft,BNS 2023,192,Stole parked two-wheeler from Tumakuru Town PS
FIR-949/2025-9e44,NDPS,BNS 2023,242,Found possessing cocaine at a rave party in Belagavi Camp PS
FIR-759/2026-c007,Cheating,BNS 2023,128,Promised a job and took advance money in Tumakuru Town PS
FIR-447/2025-4c77,Cyber Crime,BNS 2023,154,Tricked victim into sharing OTP over phone call
FIR-977/2026-c01d,NDPS,BNS 2023,228,Smuggling synthetic drugs in a hidden compartment near Devaraja PS
FIR-570/2026-e218,Murder,BNS 2023,246,Poisoned during a family dispute at Indiranagar PS
FIR-166/2025-d44f,NDPS,BNS 2023,392,Found possessing cocaine at a rave party in Tilakwadi PS
FIR-332/2025-9e60,Robbery,BNS 2023,116,Threatened with a knife and stole wallet at Belagavi Camp PS
FIR-277/2025-199c,Assault,BNS 2023,303,Road rage incident leading to severe injuries near Devaraja PS
FIR-110/2026-7d79,Cheating,BNS 2023,111,Sold fake property documents to victim in Khadebazar PS
FIR-272/2025-2e41,POCSO,BNS 2023,181,Assaulted minor on the way to school near Koramangala PS
FIR-138/2025-d3f0,Assault,BNS 2023,210,Physical altercation over property dispute in Tilakwadi PS
FIR-316/2026-ba4b,Assault,BNS 2023,383,Road rage incident leading to severe injuries near Belagavi Camp PS
FIR-288/2026-97de,Cheating,BNS 2023,160,Chit fund scam defrauding multiple investors in Kyathasandra PS
FIR-345/2025-9282,Robbery,BNS 2023,166,Snatched gold chain while victim was walking near Dharwad Suburban PS
FIR-956/2026-d1ad,Robbery,BNS 2023,354,Threatened with a knife and stole wallet at Kyathasandra PS
FIR-853/2025-2f3c,NDPS,BNS 2023,115,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-257/2026-55e8,Murder,BNS 2023,267,Poisoned during a family dispute at Tumakuru Town PS
FIR-404/2025-f42c,POCSO,BNS 2023,142,Harassed minor in the neighborhood of Saraswathipuram PS
FIR-725/2026-3f28,NDPS,BNS 2023,387,Smuggling synthetic drugs in a hidden compartment near Tumakuru Town PS
FIR-629/2025-eae2,Cheating,BNS 2023,165,Promised a job and took advance money in Kuvempunagar PS
FIR-242/2025-8d09,Cyber Crime,BNS 2023,362,Tricked victim into sharing OTP over phone call
FIR-754/2026-be8c,Robbery,BNS 2023,116,Threatened with a knife and stole wallet at Devaraja PS
FIR-683/2026-cd2e,Cyber Crime,BNS 2023,193,Romance scam on dating app leading to crypto transfer
FIR-910/2026-3e80,POCSO,BNS 2023,398,Harassed minor in the neighborhood of Belagavi Camp PS
FIR-628/2026-5c0b,Theft,BNS 2023,136,Stole parked two-wheeler from Indiranagar PS
FIR-186/2026-1118,Cheating,BNS 2023,218,Promised a job and took advance money in Dharwad Suburban PS
FIR-212/2026-9c79,Robbery,BNS 2023,348,Broke into house and stole valuables in Kyathasandra PS
FIR-832/2025-7af7,NDPS,BNS 2023,203,Caught selling marijuana packets near college in Tumakuru Town PS
FIR-687/2025-e419,POCSO,BNS 2023,269,Harassed minor in the neighborhood of Kyathasandra PS
FIR-640/2025-9680,NDPS,BNS 2023,317,Caught selling marijuana packets near college in Tilakwadi PS
FIR-769/2026-7031,Theft,BNS 2023,277,Stole parked two-wheeler from Tilakwadi PS
FIR-715/2025-6bb2,NDPS,BNS 2023,299,Smuggling synthetic drugs in a hidden compartment near Hubballi Town PS
FIR-200/2025-bd1d,Assault,BNS 2023,206,Physical altercation over property dispute in Kuvempunagar PS
FIR-472/2026-7637,Murder,BNS 2023,139,Poisoned during a family dispute at Tilakwadi PS
