Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
5762,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಅಭಾವ,Power loss,ಅಪ್ಪಾಜಿ @ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji @ Chanabasavaraj Shankarrao Nadgowda
5763,20/11/2015,ಇಂಧನ,Fuel,ಎನ್ ಟಿ ಪಿ ಸಿ ವಿದ್ಯುತ್ ಸ್ಥಾವರ ನಿರ್ಮಾಣ,Construction of NTPC Power Plant,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್ ,Yashwantra Gowda Vitthal Gowda Patil
5764,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ತಡೆಯುವುದು,Preventing electrical contact,ಸುಧಾಕರ್ ಕೆ,Sudhakar K.
5765,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಕೊರತೆ,Power shortage,ಸುಧಾಕರ್ ಕೆ,Sudhakar K.
5766,20/11/2015,ಇಂಧನ,Fuel,ಪಂಪ್ ಸೆಟ್ಟುಗಳಿಗೆ ಪರಿವರ್ತಗಳನ್ನು ಅಳವಡಿಸುವ ಕುರಿತು,About setting up transitions to pump sets,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ.,Krishnaredhend M.
5767,20/11/2015,ಇಂಧನ,Fuel,ಮೆಸ್ಕಾಂ ನಲ್ಲಿ ಪ್ಯಾಕೇಜ್ ಟೆಂಡರ್ ಕರೆಯುವುದು,Package Tender at Mescom,ಶಕುಂತಲಾ ಶೆಟ್ಟಿ,Shakuntala Shetty
5768,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸಮಸ್ಯೆ,Power problem,ಮೋಹಿಯುದ್ದೀನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin bawa BA
5769,20/11/2015,ಇಂಧನ,Fuel,ಟಿ.ಸಿ ಗಳ ವಿತರಣೆ,Distribution of TCs,ವಡ್ನಾಳ್ ರಾಜಣ್ಣ,Vadnal Rajanna
5770,20/11/2015,ಇಂಧನ,Fuel,ಉಮೇಶ್ ಜಿ. ಜಾಧವ್,Umesh G. Jadhav,ಉಮೇಶ ಜಿ. ಜಾಧವ್,Umesh G. Jadhav
5771,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಪರಿವರ್ತಕಗಳು ಕೆಟ್ಟು ಹೋಗಿರುವುದು,Electric converters have been damaged,ಗುರು ಪಾಟೀಲ್ ಶಿರವಾಳ,Guru Patil Shilpa
5772,20/11/2015,ಇಂಧನ,Fuel,ರಾಜ್ಯದಲ್ಲಿ ಉತ್ಪಾದಿಸುತ್ತಿರುವ ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Power generation generated in the state,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
5773,20/11/2015,ಇಂಧನ,Fuel,ಎಲ್.ಇ.ಡಿ ಬಲ್ಫಗಳ ವಿವರ,Detail of LED bulbs,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ ,Basavaraja S. Bommy
5774,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಕೊರತೆ,Power shortage,ಬಣಕಾರ್ ಯು.ಬಿ. ,Banakar UB
5775,20/11/2015,ಇಂಧನ,Fuel,ಕಾರ್ಮಿಕರ ಭದ್ರತೆ,Workers' security,ರುದ್ರಪ್ಪ ಮಾನಪ್ಪ ಲಮಾಣಿ ,Rudrappa Manappa Lamani
5776,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ ಮತ್ತು ಅಭಾವ,Power generation and deprivation,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್. ,Cheluvaraswamy N.
5777,20/11/2015,ಇಂಧನ,Fuel,ಎಲ್.ಇ.ಡಿ ಬಲ್ಬ್‌ಗಳನ್ನು ರಿಯಾಯಿತಿ ದರದಲ್ಲಿ ನೀಡುವುದು,Led bulbs at discounted rates,ರಮೇಶ ಬಂಡಿಸಿದ್ದೇಗೌಡ ಎ.ಬಿ,Ramesh Bandidida Gowda AB
5778,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಅಭಾವ,Power loss,ನರೇಂದಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendaswamy PM
5779,20/11/2015,ಇಂಧನ,Fuel,ಉಪ ಸ್ಥಾವರ ನಿರ್ಮಾಣ,Construction of sub-plant,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್ ,Manappa D. Vajzal
5780,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನಾ ಪ್ರಮಾಣ,Power generation rate,ಮಧುಬಂಗಾರಪ್ಪ ಎಸ್,Madhubangarappa S.
5781,20/11/2015,ಇಂಧನ,Fuel,ಸೋಲಾರ್ ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Solar power generation,ಮಧುಬಂಗಾರಪ್ಪ ಎಸ್,Madhubangarappa S.
5782,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಪಸ್ಥಾವರ ಮಂಜೂರಾತಿ,Electricity Approval Approval,ಶ್ರೀನಿವಾಸ್ ಎಸ್. ಆರ್. ,Srinivas S. R.
5783,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಪಸ್ಥಾವರ ಸ್ಥಾಪನೆ,Establishment of power subsidiary,ಶ್ರೀನಿವಾಸ್ ಎಸ್. ಆರ್. ,Srinivas S. R.
5784,20/11/2015,ಇಂಧನ,Fuel,ರೈತರ ಕಳವೆ ಬಾವಿಗಳನ್ನು ಸಕ್ರಮಗೊಳಿಸುವುದು,Farmers steal the wells,ಸುಧಾಕರ್ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
5785,20/11/2015,ಇಂಧನ,Fuel,ಉಪ ಸ್ಥಾವರ ನಿರ್ಮಾಣ,Construction of sub-plant,ಸುಧಾಕರ್ ಲಾಲ್ ಪಿ.ಆರ್,Sudhakar Lal PR
5786,20/11/2015,ಇಂಧನ,Fuel,ಉಡುಪಿ ಪವರ್ ಕಾರ್ಪೋರೇಷನ್ ,Udupi Power Corporation,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ. ,Sunil Kumar V.
5787,20/11/2015,ಇಂಧನ,Fuel,ಮಾನ್ಸೂನ್ ಗ್ಯಾಂಗ್ ಕಾರ್ಮಿಕರ ಖಾಯಂ ಕುರಿತು,Monsoon Gang About the Permanent Worker,ಹಾಲಾಡಿ ಶ್ರೀನಿವಾಸ ಶೆಟ್ಟಿ,Halady Srinivasa Shetty
5788,20/11/2015,ಇಂಧನ,Fuel,ಮೆಸ್ಕಾಂ ನ ಕಿರಿಯ ಮಾರ್ಗದಾಳುಗಳ ನೇಮಕಾತಿ,Appointment of Mescom's younger linearies,ಪಮೋದ್ ಮಧ್ವರಾಜ್,Pamod Madhwaraj
5789,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Power generation,ಜೀವರಾಜ್ ಡಿ.ಎನ್.,Jivaraj DN
5790,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವುದು,To connect power,ರವಿ ಸಿ.ಟಿ,Ravi CT
5791,20/11/2015,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ,Power generation,ಕತಸಂದ್ರ ಎನ್. ರಾಜಣ್ಣ ,Kathasandra N. Rajanna
5792,20/11/2015,ಇಂಧನ,Fuel,ಮಿಟ್ಟೇಮರಿ ವಿದ್ಯುತ್ ಸ್ವೀಕರಣಾ ಕೇಂದ್ರ,Mittemari Power Recovery Center,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್. ,Subburdy SN
5793,20/11/2015,ಕೃಷಿ,Agriculture,"ಬಿತ್ತನೆ, ಬಿತ್ತನೆ ಬೀಜ ಯಂತ್ರಗಳು ಮತ್ತು ಲಘು ನೀರಾವರಿ","Sowing, sowing seeds and light irrigation",ರಾಘವೇಂದ್ರ ಬಿ.ವೈ.,Raghavendra BY
5794,20/11/2015,ಕೃಷಿ,Agriculture,ಬೀಜ ವಿತರಣೆ,Seed distribution,ಕಾಶಪ್ಪನವರ್ ವಿಜಯಾನಚಿದ್ ಶಿವಶಂಕರಪ್ಪ,Keshappanavar Vijayanachad Shivashankarappa
5795,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರಿಗೆ ಹನಿ ನೀರಾವರಿ ಸಲಕರಣೆಗೆ ಸಹಾಯಧನ,Subsidy to farmers for drip irrigation equipment,ವಂಕಟರಮಣಯ್ಯ ಟಿ,Vincentrama t
5796,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಕುಟುಂಬಗಳಿಗೆ ಸರ್ಕಾರ ಸ್ಪಂದನೆ,Government responds to farmers' families,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
5797,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆಗೆ ಪರಿಹಾರ ಒದಗಿಸುವುದು,Providing compensation for farmers' suicides,ರವಿ ಸುಬ್ರಹ್ಮಣ್ಯ ಎಲ್.ಎ,Ravi Subramanya L.A.
5798,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ,Farmers' Suicide,ಸಂಜಯ್ ಬಿ. ಪಾಟೀಲ್,Sanjay B. Patil
5799,20/11/2015,ಕೃಷಿ,Agriculture,ಬರ ಪರಿಹಾರ,Drought relief,ಉಮೇಶ್ ವಿಶ್ವನಾಥ್ ಕತ್ತಿ ,Umesh Vishwanath Sword
5800,20/11/2015,ಕೃಷಿ,Agriculture,ಪ್ಲಾಸ್ಟಿಕ್ ನಿಷೇಧಿಸಿರುವುದು,Plastic Prohibition,ಲಕ್ಷ್ಮಣ ಸಂಗಪ್ಪ ಸವದಿ,Lakshmana Sangappa Savvadi
5801,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ,Farmers' Suicide,ಆಶೋಕ್ ಖೇಣಿ,Ashok Kane
5802,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ ತಡೆಯಲು ವೈಜ್ಞಾನಿಕ ಕ್ರಮ,Scientific action to prevent farmer suicides,ಆಶೋಕ್ ಖೇಣಿ,Ashok Kane
5803,20/11/2015,ಕೃಷಿ,Agriculture,ಬಿತನೆ ಬೀಜ ಸರಬರಾಜು,Subsidized seed supplier,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
5804,20/11/2015,ಕೃಷಿ,Agriculture,ಎ.ಪಿ.ಎಂ.ಸಿ ಮಾರುಕಟ್ಟೆ ಅಭಿವೃದ್ಧಿ,APMC Market Development,ಅಪ್ಪಾಜಿ @ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji @ Chanabasavaraj Shankarrao Nadgowda
5805,20/11/2015,ಕೃಷಿ,Agriculture,ಕೃಷಿ ವಿಜ್ಞಾನ ಕೇಂದ್ರ ಸ್ಥಾಪನೆ,Establishment of Agriculture Science Center,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್ ,Yashwantra Gowda Vitthal Gowda Patil
5806,20/11/2015,ಕೃಷಿ,Agriculture,ಸುವರ್ಣ ಕೃಷಿ ಹೊಂಡ ಯೋಜನೆ,Golden Farm Pond Project,ನರೇಂದ್ರ ಆರ್. ,Narendra R.
5807,20/11/2015,ಕೃಷಿ,Agriculture,ಮೋಡ ಬಿತ್ತನೆ,Cloud sowing,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ.,Appachan Ranjan MP
5808,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಅಭಿವೃದ್ಧಿಗಾಗಿ ಯೋಜನೆ,Plan for development of farmers,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ.,Appachan Ranjan MP
5809,20/11/2015,ಕೃಷಿ,Agriculture,ಸಾವಯುವ ಕೃಷಿ,Organic farming,ಮೋಹಿಯುದ್ದೀನ್ ಬಾವಾ ಬಿ.ಎ.,Mohiuddin bawa BA
5810,20/11/2015,ಕೃಷಿ,Agriculture,ಜನರೇಟರ್ ಸಹಾಯ ಧನ ನೀಡುವುದು,Generator helps pay off,ಶಂತನಗೌಡ ಡಿ.ಜಿ,Shantanagowda DG
5811,20/11/2015,ಕೃಷಿ,Agriculture,ಅನುದಾನ ಬಿಡುಗಡೆಯಲ್ಲಿ ತಾರತಮ್ಮ,"In the grant release,",ಕನರೆಡ್ಡಿ ಎನ್.ಎಚ್,NH
5812,20/11/2015,ಕೃಷಿ,Agriculture,ಹವಾಮಾನ ಬೆಳೆ ವಿಮೆ,Weather Crop Insurance,ಕನರೆಡ್ಡಿ ಎನ್.ಎಚ್,NH
5813,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರಿಗೆ ಬೆಳೆವಿಮೆ ಪರಿಹಾರ ದೊರಕದಿರುವುದು,Farmers are not getting compensation,ಕನರೆಡ್ಡಿ ಎನ್.ಎಚ್,NH
5814,20/11/2015,ಕೃಷಿ,Agriculture,ಟ್ರಾಕ್ಟರ್ ಹಾಗೂ ಸಣ್ಣ ಟ್ರಾಕ್ಟರ್ ನೀಡುವ ಬಗ್ಗೆ,About tractor and small tractor,ಉಮೇಶ ಜಿ. ಜಾಧವ್,Umesh G. Jadhav
5815,20/11/2015,ಕೃಷಿ,Agriculture,ಉತ್ಕೃಷ್ಟ ಜ್ಞಾನ ಕೇಂದ್ರ ಯೋಜನೆ ಜಾರಿ ತರುವ ಬಗ್ಗೆ,Implementation of the Excellence of Knowledge Center Scheme,ಉಮೇಶ ಜಿ. ಜಾಧವ್,Umesh G. Jadhav
5816,20/11/2015,ಕೃಷಿ,Agriculture,ತುಂತುರು ಹನಿ ನೀರಾವರಿ ಮಾನದಂಡ,Spray Irrigation Criteria,ಪಟೀಲ್ ಬಿ.ಆರ್,Patil BR
5817,20/11/2015,ಕೃಷಿ,Agriculture,ಅತಿವೃಷ್ಟಿ ಮತ್ತು ಅನಾವೃಷ್ಟಿಯಿಂದ ಬರಗಾಲ,Famine from overwhelming and downtrodden,ಬಾಲಕೃಷ್ಣ ಸಿ.ಎನ್. ,Balakrishna CNN
5818,20/11/2015,ಕೃಷಿ,Agriculture,ಹುದ್ದೆಗಳ ಭರ್ತಿ,Filling up posts,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
5819,20/11/2015,ಕೃಷಿ,Agriculture,ಬೆಳೆ ವಿಮೆ ಜಾರಿ,Crop Insurance Enforcement,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ ,Basavaraja S. Bommy
5820,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ,Farmers' Suicide,ಬಣಕಾರ್ ಯು.ಬಿ. ,Banakar UB
5821,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ,Farmers' Suicide,ಬಣಕಾರ್ ಯು.ಬಿ. ,Banakar UB
5822,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆಗೆ ಪರಿಹಾರ  ,Solution to Farmers' Suicide,ಮಂಜುನಾಥ್ ಜಿ,Manjunath G.
5823,20/11/2015,ಕೃಷಿ,Agriculture,ರಾಜ್ಯದಲ್ಲಿನ ರೈತರ ಆತ್ಮಹತ್ಯೆ,Suicide of farmers in the state,ನಾರಾಯಣ ಗೌಡ ,Narayana Gowda
5824,20/11/2015,ಕೃಷಿ,Agriculture,"ಬರಗಾಲ, ಅತಿವೃಷ್ಟಿ ಸಮಸ್ಯೆಗೆ ಕೇಂದ್ರದ ನೆರವು","Central assistance to famine, overgrowth problems",ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್. ,Cheluvaraswamy N.
5825,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತ ಸಂತೆ ಕಾಂಪೌಚಿಡ್ ಕಾಮಗಾರಿ,Farmers' Compuqite Work,ಚಿಕ್ಕಮಾದು ಎಸ್,Little is S.
5826,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ ಪರಿಹಾರ,Farmers' Suicide Solution,ಚಿಕ್ಕಮಾದು ಎಸ್,Little is S.
5827,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ ಪಕರಣಗಳು,Farmers' suicides,ಮಧುಬಂಗಾರಪ್ಪ ಎಸ್,Madhubangarappa S.
5828,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರು ಬೆಳೆ ಭತ್ತವನ್ನು ಸರ್ಕಾರ ಖರೀದಿ ಮಾಡುವುದು,Farmers are buying government crops,ಗಪಾಲ ಫೂಜಾರಿ,Gopal Fujari
5829,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತ ಅನುವುಗಾರರ ಹುದ್ದೆ ಸೃಷ್ಠಿ ಹಾಗೂ ರದ್ಧತಿ,Creation and Abolition of Farmers 'Employees' Residency,ಜೀವರಾಜ್ ಡಿ.ಎನ್.,Jivaraj DN
5830,20/11/2015,ಕೃಷಿ,Agriculture,ರೈತರ ಆತ್ಮಹತ್ಯೆ ಹಾಗೂ ಪರಿಹಾರ ಧನ,Farmers' suicides and compensation funds,ಜೀವರಾಜ್ ಡಿ.ಎನ್.,Jivaraj DN
5831,20/11/2015,ಕೃಷಿ,Agriculture,ಬಜೆಟ್‌ನಲ್ಲಿ ಹಾಗೂ ಕೇಂದ್ರ ಅನುದಾನ,In the budget and the central grant,ರಾಘವೇಂದ್ರ ಬಿ.ವೈ.,Raghavendra BY
5832,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ತೆಂಗು ಪುನಶ್ಛೇತನ ಯೋಜನಾ ಕಾರ್ಯಕ್ರಮ,Coconut Recovery Planning Program,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
5833,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರೇಷ್ಮೆ ಬೆಳೆಗಾರರಿಗೆ ಸರ್ಕಾರದ ಸ್ಪಂದನೆ,Government response to silk growers,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
5834,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಪುಷ್ಪೋದ್ಯಮ ಅಭಿವೃದ್ಧಿ ಯೋಜನೆ,Push Development Project,ಹ್ಯಾರಿಸ್ ಎಸ್.ಎ. ,Harris SA
5835,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಬಯೋ ಟೆಕ್ನಾಲಜೆ ಸೆಚಿಟರ್,Bio Technology Seater,ಗೋಪಾಲಯ್ಯ ಕೆ,Gopalaiah K.
5836,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಕೃಷಿ ಮತ್ತು ತೋಟಗಾರಿಕೆ ಇಲಾಖೆ ಸಮನ್ವಯ ಕೊರತೆ,Department of Agriculture and Horticulture is lack of coordination,ಆಶೋಕ್ ಖೇಣಿ,Ashok Kane
5837,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಹೂ ವ್ಯವಸಾಯ,Flower Agriculture,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
5838,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಲಿಂಬೆ ಅಭಿವೃದ್ಥಿ ಪ್ರಾಧಿಕಾರ ರಚನೆ,Construction of the Limbe Development Authority,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್ ,Yashwantra Gowda Vitthal Gowda Patil
5839,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಖಾಲಿ ಜಾಗಗಳು,Empty spaces,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ.,Appachan Ranjan MP
5840,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಸೀಬೆ ಹಣ್ಣುಗಳನ್ನು ರಫ್ತು ಮಾಡುವುದು,Exporting Seed Fruits,ಉಮೇಶ ಜಿ. ಜಾಧವ್,Umesh G. Jadhav
5841,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಟ್ರ್ಯಾಕ್ಟರ್‌ಗಳಿಗೆ ಸಹಾಯಧನ ವಿತರಣೆ,Subsidy distribution to tractors,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
5842,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಆಲೂಗಡ್ಡೆ ಬೆಳೆಗಾರರಿಗೆ ಪರಿಹಾರ ವಿತರಣೆ,Distribution of relief to potato growers,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
5843,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ನೀರಾ ಇಳಿಸುವ ಬಗ್ಗೆ,About watering,ಮಧುಬಂಗಾರಪ್ಪ ಎಸ್,Madhubangarappa S.
5844,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರೈತರಿಗೆ ಪರಿಹಾರ ನೀಡದಿರುವುದು,Not compensating farmers,ನಾಗರಾಜಯ್ಯ ಡಿ,Nagaraja D.
5845,20/11/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಹಾಪ್ ಕಾಮ್ಸ್ ಕಾರ್ಯವ್ಯಾಪ್ತಿ,Hop Comes Functionality,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್.ಎನ್. ,Subburdy SN
5846,23/11/2015,ಲೋಕೋಪಯೋಗಿ ,PWD,ತದಡಿ ಹೊನ್ನಾವರ ಬಂದರಿನಲ್ಲಿ ಹೂಳೆತ್ರುವುದು,Tadadi is buried in the port of Honnavar,ಶಾರದಾ ಮೋಹನ ಶೆಟ್ಟಿ,Sharada Mohana Shetty
5847,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಕಾಮಗಾರಿಗಳ ಪ್ರಗತಿ,Work progress,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ.,Krishnaredhend M.
5848,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಹಂಚಿಕೆಯಾದ ಅನುದಾನ,Distributed grants,ಸಿದ್ದು ಬಿ. ನ್ಯಾಮನಗೌಡ,Sit b. Nana Gowda
5849,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಎಸ್.ಸಿ.ಪಿ. ಮತ್ತು ಟಿ.ಎಸ್.ಪಿ ಯೋಜನೆ ,SCP And the TSP project,ಪಾಟೀಲ್ ಜೆ.ಟಿ,Patil JT
5850,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಕೊಳವೆ ಬಾವಿ ಮಂಜೂರು ಮಾಡುವುದು,Allow the tubing well,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
5851,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಕೆರೆ ತುಂಬಿಸುವ ಯೋಜನೆ,Lake Filling Scheme,ವಿಶ್ವನಾಥ್ ಎಸ್.ಆರ್,Vishwanath SR
5852,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಎಸ್.ಸಿ.ಪಿ / ಟಿ.ಎಸ್.ಪಿ ಗೆ ನೀಡಿದ ಅನುದಾನ,Assistance to SCP / TSP,ಅರವಿಂದ್ ಚಂದ್ರಕಾಂತ್ ಪಾಟೀಲ್,Arvind Chandrakant Patil
5853,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಚೆಕ್ ಡ್ಯಾಂಗಳ ನಿರ್ಮಾಣ,Construction of check dams,ಲಕ್ಷ್ಮಣ ಸಂಗಪ್ಪ ಸವದಿ,Lakshmana Sangappa Savvadi
5854,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಸಿರಗುಪ್ಪ ತಾಲ್ಲೂಕಿನ ವ್ಯಾಪ್ತಿಯಲಿರುವ ಕೆರೆಗಳು,Lakes across Siraguppa Taluk,ನಾಗರಾಜ್ ಬಿ ಎಂ,Nagaraj B.M.
5855,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಬಿಟ್ಟು ಹೋದ ಗ್ರಾಮಗಳ ಸೇರ್ಪಡೆ,Inclusion of villages left,ಯಶವಂತರಾಯಗೌಡ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್ ,Yashwantra Gowda Vitthal Gowda Patil
5856,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಜಲ ಮೂಲಗಳ Uಣತಿ,Water sources of water sources,ಸುಧಾಕರ್ ಕೆ,Sudhakar K.
5857,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಎಸ್.ಸಿ.ಪಿ / ಟಿ.ಎಸ್.ಪಿ ಕಾಮಗಾರಿಗಳು,SCP / TSP works,ಶಕುಂತಲಾ ಟಿ. ಶೆಟ್ಟಿ,Shakuntala T. Shetty
5858,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಗರ್ಭಗುಡಿ ಏತ ನೀರಾವರಿ ಯೋಜನೆ,Sanctuary irrigation scheme,ರವೀಂದ್ರ ಎಂ.ಪಿ.,Ravindra MP
5859,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಅನುದಾನ ಬಿಡುಗಡೆ,Grant Release,ಶಿವಶಂಕರ್ ಎಚ್.ಎಸ್.,Shivshankar HS
5860,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಎಸ್.ಸಿ.ಪಿ / ಟಿ.ಸಿ.ಪಿ ಕಾಮಗಾರಿಗಳ ಅನುಷ್ಟಾನ ,Implementation of SCP / TPP works,ಶಿವಶಂಕರ್ ಎಚ್.ಎಸ್.,Shivshankar HS
5861,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಏತ ನೀರಾವರಿ,Where irrigation,ಶಾಂತನಗೌಡ ಡಿ.ಜಿ.,Shantanagowda DG
5862,23/11/2015,ಸಣ್ಣ ನೀರಾವರಿ ,Small irrigation,ಸಣ್ಣ ನೀರಾವರಿ ಇಲಾಖೆಯ ಕಾಮಗಾರಿ,Small irrigation department works,ಅರವಿಂದ ಚಂದ್ರಕಾಂತ ಬೆಲ್ಲದ,Aravind Chandrakanta Betta
