Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
3004,21/03/2017,ಕೃಷಿ,Agriculture,ಕೃಷಿ ಸಂಬಂಧಿ ಕಾರ್ಯಕ್ರಮಗಳ/ ಯೋಜನೆಗಳ ಬಗ್ಗೆ,About Agricultural Programs / Projects,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
3005,21/03/2017,ಕೃಷಿ,Agriculture,ರೈತರ ಕೃಷಿ ಜಮೀನಿಗಳಲ್ಲಿ ಮಣ್ಣಿನ ಪರೀಕ್ಷೆಯ ಬಗ್ಗೆ,About soil testing in farmers' farmland,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
3006,21/03/2017,ಕೃಷಿ,Agriculture,ಬೆಳೆ ವಿಮೆ ಯೋಜನೆಗಳ ಬಗ್ಗೆ,About crop insurance plans,ಪುಟ್ಟಸ್ವಾಮಿ .ಬಿ.ಜೆ,Puttaswamy B J
3007,21/03/2017,ಕೃಷಿ,Agriculture,"ಕಲಬುರಗಿ ಮತ್ತು ಯಾದಗಿರಿ ಜಿಲ್ಲೆಗಳಿಗೆ ೨೦೧೫-೧೬, ೨೦೧೬-೧೭ನೇ ಸಾಲಿನಲ್ಲಿ ಬಿಡುಗಡೆ ಅನುದಾನದ ಬಗ್ಗೆ","Issue of release on 2015-16, 2016-17 to Kaluburgi and Yadgir districts",ಪಾಟೀಲ್ .ಬಿ.ಜಿ,Patil B G
3008,21/03/2017,ಇಂಧನ,Fuel,ಹೊಸ ಟ್ರಾನ್ಸಫಾರ್ಮರ್ ಅಳವಡಿಕೆ ಕುರಿತು,About installing a new transformer,ಶರವಣ .ಟಿ.ಎ,Sharavana T A
3009,21/03/2017,ಇಂಧನ,Fuel,ವಿದತ್ ಉತ್ಪಾದನೆ ಕೊರತೆಯ ಬಗ್ಗೆ,Vidhut production deficit,ಶರವಣ .ಟಿ.ಎ,Sharavana T A
3010,21/03/2017,ತೋಟಗಾರಿಕೆ,Gardening,ರಾಜ್ಯದ ತೋಟಗಾರಿಕಾ ಫಾರಂಗಳ ಕುರಿತು,About State Horticultural Fertilizers,ಶರವಣ .ಟಿ.ಎ,Sharavana T A
3011,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಲೋಕೋಪಯೋಗಿ ಇಲಾಖೆಯಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತಿರುವ ಡಿಪ್ಲೋಮಾ ವಿದ್ಯಾರ್ಥಿ ಹೊಂದಿರುವ ಸಹಾಯಕ ಕಾರ್ಯನಿರ್ವಾಹಕ ಅಭಿಯಂತರರ ಪದೋನ್ನತಿ ಬಗ್ಗೆ,About Diploma Student Assistant Executive Engineer Applying for Public Works Department,ಶಾಣಪ್ಪ .ಕೆ.ಬಿ,Shaanappa K B
3012,21/03/2017,ಕೃಷಿ,Agriculture,ಹನಿ ನೀರಾವರಿ ಬಗ್ಗೆ,About Honey Irrigation,ವಿವೇಕ್‌ರಾವ್ ವಸಂತ್‌ರಾವ್ ಪಾಟೀಲ್,Vivek Rao Vasanth Rao Patil
3013,21/03/2017,ಕೃಷಿ,Agriculture,ಹನಿ ನೀರಾವರಿ ಬಗ್ಗೆ,About Honey Irrigation,ವಿವೇಕ್‌ರಾವ್ ವಸಂತ್‌ರಾವ್ ಪಾಟೀಲ್,Vivek Rao Vasanth Rao Patil
3014,21/03/2017,ಇಂಧನ,Fuel,ಸೌರ ವಿದ್ಯುತ್ ಘಟಕಗಳನ್ನು ಸ್ಥಾಪಿಸುವ ಕುರಿತು,About establishing solar power plants,ವೀರಯ್ಯ .ಡಿ.ಎಸ್,Veerayya D S
3015,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ವಂದ ಮತ್ತು ನೇಮಕಾತಿ ನಿಯಮ ಪರಿಷ್ಕರಣೆ ಕುರಿತು,Regarding greeting and recruitment rule,ವೀರಯ್ಯ .ಡಿ.ಎಸ್,Veerayya D S
3016,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿನ ಪಶುಭಾಗ್ಯ ಯೋಜನೆಯ ಫಲಾನುಭವಿಗಳ ಕರಿತು,The beneficiaries of the scheme are the beneficiaries of the Kodagu district,ವೀಣಾ ಅಚ್ಚಯ್ಯ .ಎಸ್,Veena achchaiah S
3017,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಕೊಡಗು ಜಿಲ್ಲೆಯ ರಸ್ತೆಗಳ ಕುರಿತು,About roads in Kodagu district,ವೀಣಾ ಅಚ್ಚಯ್ಯ .ಎಸ್,Veena achchaiah S
3018,21/03/2017,ಕೃಷಿ,Agriculture,ಕೊಡಗು ಜಿಲ್ಲೆಯಲ್ಲಿ ಬೆಳೆ ವಿಮೆ ಕುರಿತು,About crop insurance in Kodagu district,ವೀಣಾ ಅಚ್ಚಯ್ಯ .ಎಸ್,Veena achchaiah S
3019,21/03/2017,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,Agricultural Market,ಬೀದರ್ ಜಿಲ್ಲೆಯಲ್ಲಿ ತೊಗರಿ ಖರೀದಿ ಮಾಡುವ ಬಗ್ಗೆ,About buying cakes in Bidar district,ವಿಜಯ ಸಂಗ್,Vijay Singh
3020,21/03/2017,ಇಂಧನ,Fuel,ಬೀದರ್ ಜಿಲ್ಲೆಯಲ್ಲಿ ಪಂಪ್‌ಸೆಟ್ಗಳಿಗೆ ಟ್ರಾನ್ಸಫಾರಂ ಅಳವಡಿಸುವ ಬಗ್ಗೆ,About installing transmitter to pumpets in Bidar district,ವಿಜಯ ಸಂಗ್,Vijay Singh
3021,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಬೀದರ್ ಜಿಲ್ಲೆಯ ತಾಲ್ಲೂಕು ರಸ್ತೆಗಳ ಬಗ್ಗೆ,About Taluk Roads in Bidar District,ವಿಜಯ ಸಿಂಗ್,Vijay Singh
3022,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಹೆದ್ದಾರಿಗಳಲ್ಲಿ ಅಪಘಾತದ ಬಗ್ಗೆ,About the accident on the highways,ಬಸನಗೌಡ ಆರ್ ಪಾಟೀಲ್,Basanagowda R Patil
3023,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ರಸ್ತೆಗಳ ಅಭಿವೃದ್ಧಿ ಕುರಿತು,About road development,ಬಸವರಾಜ ಪಾಟೀಲ್ ಇಟಗಿ,Basavaraja Patil Itagi
3024,21/03/2017,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,Agricultural Market,ಕೃಷಿ ಉತ್ಪನ್ನ ಬೆಳೆಗಳಿಗೆ ಬೆಲೆ ನಿಗಧಿ ಪಡಿಸುವ ಕುರಿತು,Regarding pricing for agricultural product crops,ಬಸವರಾಜ ಪಾಟೀಲ್ ಇಟಗಿ,Basavaraja Patil Itagi
3025,21/03/2017,ಇಂಧನ,Fuel,ಹೆಸ್ಕಾಂ ವಿಭಾಗದಲ್ಲಿ ಅನೇಕ ವರ್ಷಗಳಿಂದ ಕೆಲಸ ನಿರ್ವಹಿಸುತ್ತಿರುವ ನೌಕರರ ವಿವರ ಸಲ್ಲಿಸುವ ಬಗ್ಗೆ,About submitting the details of employees working for Hescom for many years,ಬಸವರಾಜ ಶಿವಲಿಂಗಪ್ಪ ಹೊರಟ್ಟಿ,Basavaraja Shivalingappa Horatti
3026,21/03/2017,ಇಂಧನ,Fuel,ರಾಜ್ಯದಲ್ಲಿ ರೈತರ ಜಮೀನುಗಳಿಗೆ ವಿದ್ಯುತ್ ಸರಬರಾಜು ಕಂಪನಿಗಳಿಂದ ನೀರಾವರಿ ಪಂಪ್‌ಸೆಟ್ಗಳಿಗೆ ವಿದ್ಯುತ್ ಸಂಪರ್ಕ ಕಲ್ಪಿಸುವ ಕುರಿತು,About power supply for irrigation pumpsets from electricity suppliers to farmers' lands in the state,ಬಸವರಾಜ ಶಿವಲಿಂಗಪ್ಪ ಹೊರಟ್ಟಿ,Basavaraja Shivalingappa Horatti
3027,21/03/2017,ಕೃಷಿ,Agriculture,ಜಲಾನಯನ ಯೋಜನೆಯಲ್ಲಿ ನಡೆದ ಭ್ರಷ್ಟಾಚಾರಕ್ಕೆ ಅಧಿಕಾರಿಗಳ ವಿರುದ್ಧ ಕ್ರಿಮಿನಲ್ ಕೇಸ್ ದಾಖಲಿಸಲು ಶಿಫಾರಸ್ಸು ಮಾಡುವ ಬಗ್ಗೆ,Recommendation for filing a criminal case against the authorities for corruption in the watershed project,ಬಸವರಾಜ ಶಿವಲಿಂಗಪ್ಪ ಹೊರಟ್ಟಿ,Basavaraja Shivalingappa Horatti
3028,21/03/2017,ಸ್ಥಳೀಯ ಸಂಸ್ಥೆ,Local organization,ರಾಜ್ಯದಲ್ಲಿನ ನಗರ ಸ್ಥಳೀಯ ಸಂಸ್ಥೆಗಳ ಬಗ್ಗೆ,About urban local bodies in the state,ಬಸವರಾಜ ಶಿವಲಿಂಗಪ್ಪ ಹೊರಟ್ಟಿ,Basavaraja Shivalingappa Horatti
3029,21/03/2017,ಕಷಿ,Cookie,ರಾಜ್ಯದ ಕೃಷಿ ವಿಶ್ವವಿದ್ಯಾಲಯಗಳ ಅರೆಕಾಲಿಕ ಸಿಬ್ಬಂದಿಯನ್ನು ಸೇವೆಯಲ್ಲಿ ವಿಲೀನಗೊಳಿಸುವ ಬಗ್ಗೆ,The merger of part-time staff of state agricultural universities in the service,ಬಸವರಾಜ ಶಿವಲಿಂಗಪ್ಪ ಹೊರಟ್ಟಿ,Basavaraja Shivalingappa Horatti
3030,21/03/2017,ಇಂಧನ,Fuel,ರಾಜ್ಯದ ಉಷ್ಣ ವಿದ್ಯುತ್ ಸ್ಥಾವರಗಳಲಿ ಹಾರುಬೂದಿ ನಿರ್ವಹಣೆಯ ಬಗ್ಗೆ,About spacecraft management in the state's thermal power plants,ಲಹರ್ ಸಿಂಗ್ ಸಿರೋಯ,Lahar Singh Siroya
3031,21/03/2017,ತೋಟಗಾರಿಕೆ,Gardening,ಹಾಪ್ಕಾಮ್ಸ್ ಮಳಿಗೆ ಪ್ರಾರಂಭಿಸುವುದು,Hopcams Shop Launches,ಲಕ್ಷ್ಮಿನಾರಾಯಣ. ಎಂ.ಡಿ,Lakshmi Narayana MD
3032,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಅಮೃತ ಮಹಲ್ ಕಾವಲ್ ಜಾಗವನ್ನು ರೈತರಿಗೆ ಮಂಜೂರು ಮಾಡುವ ಬಗ್ಗೆ,Amrita Mahal Caval space is allocated to the farmers,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
3033,21/03/2017,ಸಾರ್ವಜನಿಕ ಉದ್ದಿಮೆ,Public enterprise,ಸಾರ್ವಜನಿಕ ಉದ್ದಿಮೆಗಳ ಕಾರ್ಯನಿರ್ವಹಣೆ ಬಗ್ಗೆ,About the performance of public enterprises,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
3034,21/03/2017,ಕೃಷಿ,Agriculture,ರೈತರ ಅಧ್ಯಯನ ಪ್ರವಾಸದ ಬಗ್ಗೆ,About Farmers' Study Tour,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
3035,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಅನದಿಕೃತ ರಸ್ತೆ ಉಬ್ಬುಗಳ ಬಗ್ಗೆ,About unofficial road bumps,ಲಕ್ಷ್ಮೀನಾರಾಯಣ .ಎಂ.ಡಿ,Lakshmi Narayana MD
3036,21/03/2017,ಪೌರಾಡಳಿತ,Municipality,ಪುರಸಭಾ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮನೆ ಕಂದಾಯದ ಬಗ್ಗೆ,About House Taxes in the Municipal Council,ಮನೋಹರ .ಸಿ.ಆರ್,Manohara CR
3037,21/03/2017,ಪೌರಾಡಳಿತ,Municipality,ಕೆ.ಡಿ.ಪಿ. ವರದಿ ಅಭಿವೃದ್ಧಿ ಪಡಿಸುವ ಬಗ್ಗೆ,KDP About developing the report,ಮಾನೆ ಶ್ರೀನಿವಾಸ್,Mane Srinivas
3038,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಪಶುಸಂಗೋಪನಾ ಇಲಾಖೆಯ ಕಾರ್ಯಕ್ರಮಗಳ ಬಗ್ಗೆ,About animal husbandry department programs,ಮೋಟಮ್ಮ,Motamma
3039,21/03/2017,ಕೃಷಿ,Agriculture,ಚಕ್ಕಮಗಳೂರು ಜಿಲ್ಲೆಯ ಕೃಷಿ ಭಾಗ್ಯ ಯೋಜನೆಯ ಬಗ್ಗೆ,About the Agriculture Bhagya Scheme in Chakkamagalur District,ಮೋಟಮ್ಮ,Motamma
3040,21/03/2017,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,Agricultural Market,ಕೃಷಿ ಉತ್ಪನ್ನ ಮಾರುಕಟ್ಟೆ ಸೆಸ್ ಶೇ ೧.೫ ಆವರ್ತಕ ನಿಧಿ ಬಗ್ಗೆ,About 1.5 Periodic Fund for Agricultural Product Market Cess,ಅಮರನಾಥ ಪಾಟೀಲ್,Amaranatha Patil
3041,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯ ಸ್ಥಾಪಿಸುವ ಬಗ್ಗೆ,About establishing veterinary clinics,ಜಯಮ್ಮ,Jayamma
3042,21/03/2017,ಇಂಧನ,Fuel,ಸೋಲಾರ್ ವಿದತ್ ಉತ್ಪಾದನೆ ಬಗ್ಗೆ,About solar production,ಜಯಮಾಲ ರಾಮಚಂದ್ರ,Jayamala Ramachandra
3043,21/03/2017,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಉಳಿಸುವ ವಿಶೇಷ ಎಲ್.ಇ.ಡಿ. ಬಲ್ಬುಗಳ ವತರಣೆಯಿಂದ ಬೆಸ್ಕಾಂಗೆ ಆಗಿರುವ ಆರ್ಥಿಕ ಹೊರೆ ಮತ್ತು ಅವುಗಳಿಂದ ಆಗಿರುವ ವಿದ್ಯುತ್ ಉಳಿತಾಯ ಕುರಿತಂತೆ,Power Saving Special LED The financial burden of BESCOM from the bulb distribution and the power saving from them,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
3044,21/03/2017,ಕೃಷಿ,Agriculture,೧೩ನೇ ಕೃಷಿ ವಿಜ್ಞಾನ ಸಮಾವೇಶದಲ್ಲಿ ತೆಗೆದು ಕೊಂಡ ನಿರ್ಣಯಗಳು ಹಾಗೂ ಬರಗಾಲವನ್ನು ಎದುರಿಸಲು ಸರ್ಕಾರಕ್ಕೆ ನೀಡಿರುವ ಸಲಹೆಯ ಕುರಿತು,Regarding the government's advice to combat droughts and famine at the 13th Agriculture Science Conference,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
3045,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಚನ್ನಪಟ್ಟಣ ತಾಲ್ಲೂಕಿನ ಹೊಂಗನೂರು ಕೆರೆ ಏರಿ ರಸ್ತೆ ಅಗಲೀಕರಣ ಬೇಡಿಕೆ ಇರುವ ಕುರಿತು,About the demand for road widening of the Hongurur lake in Channapatna taluk,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
3046,21/03/2017,ಕೃಷಿ,Agriculture,ರಾಜ್ಯದಲ್ಲಿ ಅತಿವೃಷ್ಟ ಮತ್ತು ಅನಾವೃಷ್ಟಿ ತಡೆಗಟ್ಟಲು ಸರ್ಕಾರವೇ ವಿಮೆ ಮಾಡಿಸುವ ಕುರಿತು,The government is insured to prevent livelihood and disenchantment in the state,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
3047,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ರಾಜ್ಯದ ದನಕರುಗಳಿಗೆ ಬೇಸಿಗೆಯ ಬರಗಾಲದಲ್ಲಿ ಸೂಕ್ತ ಮೇವು ಒದಗಿಸಲು ತೆಗೆದುಕೊಳ್ಳಬೇಕಾದ ಕ್ರಮದ ಬಗ್ಗೆ,Regarding the way cattle should be provided to provide suitable fodder for summer famine,ರಾಮಚಂದ್ರಗೌಡ,Ramachandra Gowda
3048,21/03/2017,ಕೃಷಿ ಮಾರುಕಟ್ಟೆ,Agricultural Market,ಚಿತ್ರದುರ್ಗ ದಾವಣಗೆರೆ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಈರುಲ್ಲಿ ಬೆಳೆ ಪರಿಹಾರ,Crop solution here in Davangere districts of Chitradurga,ರಘು ಆಚಾರ್ .ಜಿ,Raghu Achar G
3049,21/03/2017,ಕೃಷಿ,Agriculture,ಕೃಷಿ ಭಗ್ಯ ಯೋಜನೆ ಫಲಾನುಭವಿಗಳ ಬಗ್ಗೆ,About Agricultural Benefit Scheme beneficiaries,ರಘು ಆಚಾರ್ .ಜಿ,Raghu Achar G
3050,21/03/2017,ಸ್ಥಳೀಯ ಸಂಸ್ಥೆ,Local organization,"ನಗರ, ಪುರಸಭೆ, ಪಟ್ಟಣ ಪಂಚಾಯತ್‌ಗಳ ವ್ಯಾಪ್ತಿಯ ಎಲ್.ಇ.ಡಿ. ಲೈಟಿಂಗ್ ಅಳವಡಿಕೆ ಬಗ್ಗೆ","Led by the city, municipal and town panchayats. About Lighting Adaptation",ರಘು ಆಚಾರ್ .ಜಿ,Raghu Achar G
3051,21/03/2017,ಕೃಷಿ,Agriculture,ಟಾರ್ಪಾಲ್ಗಳನ್ನು ವಿತರಿಸಲು ಬಿಡುಗಡೆಯಾದ ಅನುದಾನದ ಬಗ್ಗೆ,Release of funds to distribute torpals,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
3052,21/03/2017,ಕೃಷಿ,Agriculture,ಹನಿ ನೀರಾವರಿ ಬಗ್ಗೆ,About Honey Irrigation,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
3053,21/03/2017,ಗ್ರಾಮೀಣಾಭಿವೃದ್ಧಿ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural Development and Panchayat Raj,ಪ್ರಧಾನ ಮಂತ್ರಿ ಗ್ರಾಮ ಸಡಕ್ ಯೋಜನೆಗಳ ಬಗ್ಗೆ,About Prime Minister Gram Sadak's plans,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
3054,21/03/2017,ಪೌರಾಡಳಿv,Mesmerizing v,ಸ್ವಚ್ಛತೆಗಾಗಿ ಪೌರ ಕಾರ್ಮಿಕರನ್ನು ನೇಮಿಸುವ ಬಗ್ಗೆ,About appointing civic workers for cleanliness,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
3055,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ರಸ್ತೆ ನಿರ್ವಹಣೆ ಕಾಮಗಾರಿಗಳಲ್ಲಿ ಅವ್ಯವಹಾರ,Disadvantages of road maintenance work,ರಘುನಾಥ ರಾವ್ ಮಲ್ಕಾಪೂರೆ,Raghunath Rao Malkapore
3056,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,"ರಾಷ್ಟ್ರೀಯ, ರಾಜ್ಯ ಮತ್ತು ಜಿಲ್ಲಾ ಮುಖ್ಯ ರಸ್ತೆಗಳು","National, State and District Main Roads",ಉಗಪ್ಪ .ವಿ.ಎಸ್,Ugrappa VS
3057,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಕಲಬೆರಕೆ ಹಾಲಿನ ಬಗ್ಗೆ,About mashed milk,ರಿಜ್ವಾನ್ ಅರ್ಷದ್,Rizwan Harshad
3058,21/03/2017,ಕೃಷಿ,Agriculture,ಕರಾವಳಿ ಪ್ರದೇಶದಲ್ಲಿ ಭತ್ತದ ಕೃಷಿ ಬೇಡಿಕೆ ಬಗ್ಗೆ,About the demand for paddy cultivation in coastal areas,ಐವಾನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
3059,21/03/2017,ಇಂಧನ,Fuel,ಸೋಲಾರ್ ರೋಪ್‌ಟಾಪ್ ಮೇಲ್ಚಾವಣಿ ಬಗ್ಗೆ,About the Solar Roptop Roof,ಐವಾನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
3060,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಶಿರಾಡಿ ಘಾಟ್ ೨ನೇ ಹಂತದ ಕಾಮಗಾರಿಗಳ ಬಗ್ಗೆ,About Shiradi Ghat 2nd Stage Works,ಐವನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
3061,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಯ ಪುತ್ತೂರು ತಾಲ್ಲೂಕಿನ ಕೊಯಿಲಾದಲ್ಲಿ ಪಶುವೈದ್ಯಕೀಯ ಕಾಲೇಜು ಬಗ್ಗೆ,"About Veterinary College in Koilah, Puttur Taluk, Dakshina Kannada District",ಐವನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
3062,21/03/2017,ತೋಟಗಾರಿP,Horticultural P,ಮಲ್ಲಿಗೆ ಹೂವಿನ ಕೃಷಿಯನ್ನು ಪ್ರೋತ್ಸಾಹಿಸುವ ಬಗ್ಗೆ,Jasmine encourages flower cultivation,ಐವನ್ ಡಿ ಸೋಜಾ,Ivan Disoza
3063,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,"ರಾಜ್ಯ ಹೆದ್ದಾರಿ, ಜಿಲ್ಲಾ ಮುಖ್ಯ ರಸ್ತೆಗಳಲ್ಲಿ ಇರುವ ಟಾರ್ ಆಗದೆ ಇರುವಂತಹ ಚರಂಡಿ ಮತ್ತು ರಸ್ತೆಗಳ ಬಗ್ಗೆ","State Highways, Sewage and Roads which are not tar on district main roads",ಕ್ಯಾಪ್ಟನ್ ಗಣೇಶ್ ಕಾರ್ಣಿಕ್,Capt. Ganesh Karnik
3064,21/03/2017,ಇಂಧನ,Fuel,ಬೃಹತ್ ಬೆಂಗಳೂರು ಮಹಾನಗರ ಪಾಲಿಕೆ ವ್ಯಾಪ್ತಿಯಲ್ಲಿ ಮತ್ತು ಇತರೆ ಮಹಾನಗರ ಪಾಲಿಕೆಗಳಲ್ಲಿ ಸೌರ ವಿದ್ಯುತ್ ಉತ್ಪಾದನೆ ಕಾರ್ಯಕ್ರಮದ ಬಗ್ಗೆ,About the Solar Power Production Program in the Big Bangalore Metropolitan Area and other Metropolitan Polities,ಕ್ಯಾಪ್ಟನ್ ಗಣೇಶ್ ಕಾರ್ಣಿಕ್,Capt. Ganesh Karnik
3065,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಲೋಕೋಪಯೋಗಿ ಇಲಾಖೆಯ ಅತಿಥಿ ಗೃಹಗಳನ್ನು ನಿರ್ಮಿಸಲು ಇರುವ ಮಾನದಂಡ ಬಗ್ಗೆ,The criteria for constructing guest houses of the public sector department,ಕ್ಯಾಪ್ಟನ್ ಗಣೇಶ್ ಕಾರ್ಣಿಕ್,Capt. Ganesh Karnik
3066,21/03/2017,ಕೃಷಿ,Agriculture,ರಾಜ್ಯದಲ್ಲಿ ಯುವಕರಿಗೆ ಕೃಷಿ ಕಸುಬನ್ನು ಒಂದು ರ್ಕಷಲ್ಯವನ್ನಾಗಿ ಗುರುತಿಸಿ ನೀಡುವ ಬಗ್ಗೆ,About recognizing the cultivation as a potential for young people in the state,ಕ್ಯಾಪ್ಟನ್ ಗಣೇಶ್ ಕಾರ್ಣಿಕ್,Capt. Ganesh Karnik
3067,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ತಳಿ ಸಂವರ್ಧನ ಉಪಕೇಂದ್ರದ ಬಗ್ಗೆ,About Breed Analysis Subcategory,ಕ್ಯಾಪ್ಟನ್ ಗಣೇಶ್ ಕಾರ್ಣಿಕ್,Capt. Ganesh Karnik
3068,21/03/2017,ಕೃಷಿ,Agriculture,ಸಾವಿರಾರು ಜನ ಸಾಲಾಗಿ ಆತ್ಮಹತ್ಯೆ ಮಾಡಿಕೊಳ್ಲುತ್ತಿರುವ ಬಗ್ಗೆ,Thousands of people commit suicide in a row,ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
3069,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ರಾಜ್ಯದಲ್ಲಿ ಕಲಬೆರಕೆ ಹಾಲಿನ ದಂಧೆಯು ಅವ್ಯಾಹತವಾಗಿ ನಡೆಯುತ್ತಿರುವ ಬಗ್ಗೆ,"In the state, mash of milk is about to go unnoticed",ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
3070,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ಟೋಲ್ ಸಂಗಹ ಕೇಂದ್ರಗಳಲ್ಲಿ ಟ್ರಾಫಿಕ್ ಜಾಮ್ ಹಾಗೂ ಸಾರ್ವಜನಿಕರೊಂದಿಗೆ ಗೂಂಡ ವರ್ತನೆಯ ಬಗ್ಗೆ,Toll jam on the toll convention centers and the behavior of the goond with the public,ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
3071,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ರಾಜ್ಯದಲ್ಲಿ ಪ್ರಾಣಿದಯಾ ಕೇಂದ್ರ ಮತ್ತು ಗೋಶಾಲೆಗಳು ಆರ್ಥಿಕ ಸಂಕಷ್ಟದಲ್ಲಿರುವ ಬಗ್ಗೆ,"In the state, the Pranaya Center and the Goshalas are in the financial crisis",ಕವಟಗಿಮಠ ಮಹಂತೇಶ ಮಲ್ಲಿಕಾರ್ಜುನ,Kavatimata Mahantesha Mallikarjuna
3072,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,೨೦೧೬-೧೭ನೇ ಪಶು ಭಾಗ್ಯ ಯೋಜನೆಯ ಬಗ್ಗೆ,About 2016-17 Pasupagya Project,ಕಾಂತರಾಜು,Kantaraju
3073,21/03/2017,ಲೋಕೋಪಯೋಗಿ,Public service,ರಾಷ್ಟ್ರೀಯ ಹೆದ್ದಾರಿ ಬಗ್ಗೆ,About the National Highway,ಕಾಂತರಾಜು,Kantaraju
3074,21/03/2017,ಸ್ಥಳೀಯ ಸಂಸ್ಥೆಗಳು,Local Organizations,ರಾಜ್ಯದ ಸ್ಥಳೀಯ ಸಂಸ್ಥೆಗೆ ೨೦೧೬-೧೭ನೇ ಸಾಲಿನಲ್ಲಿ ಬಿಡುಗಡೆ ಮಾಡಿರುವ ಅನುದಾನದ ಬಗ್ಗೆ,About the grant released to the local local body in 2016-17,ಕಾಂತರಾಜು,Kantaraju
3075,21/03/2017,ಪಶುಸಂಗೋಪನೆ,Animal husbandry,ಗೋಶಾಲೆಯನ್ನು ತೆರೆಯುವ ಬಗ್ಗೆ ಮಾಹಿತಿ,Information about opening the gosh,ಕಾಂತರಾಜು,Kantaraju
