Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
976,22/07/2013,ಕಂದಾಯ,Revenue,ಸಾಗುವಳಿ ಹಕ್ಕು ಪತ್ರ ನೀಡುವುದು,Issue of Crop Certificate,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್.,Madhu Bangarappa S 
977,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂ ಪರಿವರ್ತನೆಗೆ ನೀಡಿರುವ ಮಂಜೂರಾತಿ,Approval granted to land conversion,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
978,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ನೀರಾವರಿ ಯೋಜನೆಗಳ ಅನುಷ್ಠಾನ,Implementation of irrigation projects,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ದರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Siddarappa Khuba
979,22/07/2013,ಮುಜರಾಯಿ,Muzarai,ಶ್ರೀ ಶರಣಮ್ಮರ ಮಠವನ್ನು ಅಭಿವೃದ್ಧಿಪಡಿಸುವುದು,Developing Sri Saranmara Math,ಮಾನಪ್ಪ ಡಿ. ವಜ್ಜಲ್,Manappa D  Vajzal
980,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ದಾಖಲೆಗಳನ್ನು ಮಾರ್ಪಡಿಸಿರುವುದು,The documents have been modified,ಮಂಜು ಎ.,Manju A
981,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ಔಷಧಿಗಳ ದಾಸ್ತಾನು ಹಾಗು ಸರಬರಾಜಿನ ವಿವರ,Drug Store and Supply Details,ಮಂಜು ಎ.,Manju A
982,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂಮಂಜೂರಾತಿ,Landfill,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ.,Manjunath H P 
983,22/07/2013,ಯುವಜನ ಸೇವೆ ಮತ್ತು ಕ್ರೀಡೆ,Youth Service and Sports,ಕುಣಿಗಲ್ ನಲ್ಲಿ ಕ್ರೀಡಾಂಗಣ ನಿರ್ಮಾಣ,The stadium was built at Kunigal,ನಾಗರಾಜಯ್ಯ ಡಿ.,Nagaraja D 
984,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಕೆರೆ ಹೂಳೆತ್ತುವುದು,The lake is dredged,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendra Swami PM
985,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ವಿವಿಧ ನಾಲೆಗಳ ಆಧುನೀಕರಣ,Modernization of various channels,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ.,Narendra Swami PM
986,22/07/2013,ಕಂದಾಯ,Revenue,ಹೊಸ ತಾಲೂಕುಗಳ ರಚನೆ,Formation of new taluks,ಪಾಟೀಲ್ ಎ.ಎಸ್.,Patil AS
987,22/07/2013,ಕಂದಾಯ,Revenue,ಬೆಳೆ ಹಾನಿ,Crop damage,ಪಾಟೀಲ್ ಬಿ.ಆರ್.,Patil BR
988,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕೆರೆಗಳನ್ನು ನಿರ್ಮಿಸುವುದು,Building lakes,ಪಾಟೀಲ್ ಬಿ.ಆರ್.,Patil BR
989,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಅಂತರ್ಜಲ ನಿಯಂತ್ರಣ ನಿರ್ಭಂಧ ಕಾಯ್ದೆ,Groundwater Control Restraint Act,ಪಾಟೀಲ್ ಬಿ.ಆರ್.,Patil BR
990,22/07/2013,ಕಂದಾಯ,Revenue,ಉಪನೋಂದಣಿ ಕಛೇರಿಗೆ ಸಿಬ್ಬಂದಿ ಹಾಗು ಸ್ಥಳಾವಕಾಶ,Staff and space for the subordinate office,ಪ್ರಮೋದ ಮದ್ವರಾಜ್,Pramodha Madwaraj
991,22/07/2013,ಕಂದಾಯ,Revenue,ಪ.ಜಾತಿ/ಪ. ಪಂಗಡಗಳಿಗೆ ಭೂ ಮಂಜೂರಾತಿ,P. Land Acquisition for Communities,ಪ್ರಮೋದ ಮದ್ವರಾಜ್,Pramodha Madwaraj
992,22/07/2013,ಕಂದಾಯ,Revenue,ಆಕ್ರಮ-ಸಕ್ರಮ,Aggression,ಪ್ರಮೋದ ಮದ್ವರಾಜ್,Pramodha Madwaraj
993,22/07/2013,ಕಂದಾಯ,Revenue,ಪಹಣೆ ಪತ್ರಿಕೆಯಲ್ಲಿನ ತಪ್ಪಿನ ತಿದ್ದುಪಡಿ,Error Correction in Tracing Magazine,ಪ್ರಮೋದ ಮದ್ವರಾಜ್,Pramodha Madwaraj
994,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಎಡ ಮತ್ತು ಬಲದಂಡೆ ಕಾಮಗಾರಿಗಳು,Left and right work,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
995,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂ ಬ್ಯಾಂಕ್ ಮತ್ತು ಕೆ.ಐ.ಡಿ.ಬಿ.ಗೆ ಭೂಮಿ ನೀಡಿರುವುದು,Land is given to Land Bank and KIDB,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
996,22/07/2013,ಸಕ್ಕರೆ,Sugar,ಸಹಕಾರಿ ಮತ್ತು ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳು,Cooperative and sugar factories,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
997,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕೆರೆಗಳ ಅಭಿವೃದ್ಧಿ,Development of lakes,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
998,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಸಣ್ಣ ನೀರಾವರಿ ವ್ಯಾಪ್ತಿಯ ಕೆರೆಗಳ ಅಭಿವೃದ್ಧಿ,Development of small irrigation range lakes,ರಾಜಣ್ಣ ಎಂ,Rajanna M 
999,22/07/2013,ಕಂದಾಯ,Revenue,ಬೆಂಕಿಗಾಹುತಿಯಾದ ಮನೆಗಳು,Fire houses,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1000,22/07/2013,ಸಣ್ಣ ಕೈಗಾರಿಕೆ,Small industry,ಸಣ್ಣ ಕೈಗಾರಿಕೆಗಳ ಸ್ಥಾಪನೆ,Establishment of small industries,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1001,22/07/2013,ಸಕ್ಕರೆ,Sugar,ತ್ಯಾಜ್ಯವನ್ನು ಕೃಷ್ಣ ನದಿಗೆ ಬಿಡುತ್ತಿರುವುದು,Leave the waste into the Krishna river,ರಾಜೀವ್ ಪಿ.,Rajiv P 
1002,22/07/2013,ಅರಣ್ಯ,Forest,ವನ್ಯ ಮೃಗಗಳಿಂದ ಹಾನಿಗೊಳಗಾದವರ ವಿವರ,Details of the victims of wild beasts,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1003,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂಮಿ ಮಂಜೂರು ಮಾಡುವುದು,Granting land,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1004,22/07/2013,ಕಂದಾಯ,Revenue,ಕೃಷಿ ಜಮೀನನ್ನು ಮಾರಾಟ ಮಾಡಲು ಸರ್ವೆ ಮಾಡಿಸುವುದು,Surveying to sell agricultural land,ರವಿ ಸಿ.ಟಿ.,Ravi CT
1005,22/07/2013,ಕಂದಾಯ,Revenue,ಮುದ್ರಾಂಕ ಶುಲ್ಕ,Printer fees,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1006,22/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಭೂಮಿಯ ಅಭಿವೃದ್ಧಿ,Forest land development,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1007,22/07/2013,ಮುಜರಾಯಿ,Muzarai,ಅಮರನಾಥ ಯಾತ್ರಾರ್ಥಿಗಳು,Amarnath pilgrims,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1008,22/07/2013,ಕಂದಾಯ,Revenue,ಸರ್ಕಾರಿ ಸರ್ವೆಯರ್ ಗಳು,Government Surveyors,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1009,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ಸಿದ್ದ ಉಡುಪು ತಯಾರಿಸುವ ಕಾರ್ಖಾನೆಗಳು,Ready-made factories,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ.,Revanna HD
1010,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ಐ.ಟಿ.ಐ. ಕಾಲೇಜು ಕಟ್ಟಡ,ITI College building,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1011,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ರಾಜ ಕಾಲುವೆಗಳ ದುರಸ್ಥಿ,The ruin of the King Canals,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1012,22/07/2013,ಜವಳಿ,Textile,ಜವಳಿ ಪಾರ್ಕ್ ಗಳ ಕಾರ್ಯನಿರ್ವಹಣೆ,Performance of Textile Parks,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1013,22/07/2013,ಅರಣ್ಯ,Forest,ಕಾಡು ಪ್ರಾಣಿಗಳಿಗೆ ಆಗುತ್ತಿರುವ ತೊಂದರೆ,Difficulties for wild animals,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1014,22/07/2013,ಕಂದಾಯ,Revenue,ಕಂದಾಯ ಗ್ರಾಮಗಳಾಗಿ ಪರಿವರ್ತಿಸುವುದು,Converting to Revenue Villages,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1015,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಪುನರ್ವಸತಿ ಕೇಂದ್ರದ ನಿವೇಶನಗಳು,Resettlement Centers,ಶಿವಾನಂದ ಎಸ್. ಪಾಟೀಲ,Sivananda S  Patil
1016,22/07/2013,ಕಂದಾಯ,Revenue,ಗ್ರಾಮ ಲೆಕ್ಕಿಗರ ಕೊರತೆ,Lack of village accountants,ಶಿವಶಂಕರ ರೆಡ್ಡಿ ಎನ್. ಹೆಚ್.,Shivshankar Reddy N  H 
1017,22/07/2013,ಕಂದಾಯ,Revenue,ಪಿಂಚಣಿ ಅರ್ಜಿದಾರರು ತೊಂದರೆಗೊಳಗಾಗುವ ಬಗ್ಗೆ,About pension applicants being troubled,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1018,22/07/2013,ಅರಣ್ಯ,Forest,ಹುಲಿಯೋಜನೆ,Tiger,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1019,22/07/2013,ಕಂದಾಯ,Revenue,ಹಕ್ಕುಪತ್ರ ನೀಡುವುದು,Issuance of the certificate,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1020,22/07/2013,ಕಂದಾಯ,Revenue,ಹೆಬ್ರಿಯನ್ನು ತಾಲೂಕನ್ನಾಗಿ ರಚಿಸುವ ಕುರಿತು,About creating Hebri taluka,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ.,Sunil Kumar V 
1021,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಗ್ರಾಮಗಳಿಗೆ ಕುಡಿಯುವ ನೀರು,Villages drinking water,ಸುರೇಶ್ ಬಾಬು ಸಿ.ಬಿ.,Suresh Babu CB
1022,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ನ್ಯಾಯಾಲಯಗಳ ತೀರ್ಪಿನಂತೆ ಐಟಿ.ಐ. ಪ್ರಾಚಾರ್ಯಗುಗಳಿಗೆ ಹಿಂಬಡ್ತಿ ನೀಡುವುದು,ITI Rejoining proselytes,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
1023,22/07/2013,ಕಾರ್ಮಿಕ,Labor,ಖಾಸಗಿ ಐಟಿಐ ಗಳಿಗೆ ವೇತನ ಸಹಾನುದಾನ ನೀಡುವುದು,Payment of subsidy for private ITIs,ತನ್ವೀರ್ ಸೇಠ್,Tanvir Seth
1024,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಭದ್ರಾ ಮೇಲ್ದಂಡೆ ಯೋಜನೆ,Bhadra Upstairs Project,ತಿಪ್ಪಾರೆಡ್ಡಿ ಜಿ.ಎಚ್.,Thippareddy GH
1025,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕುಡಿಯುವ ನೀರು,Drinking water,ತಿಪ್ಪಾರೆಡ್ಡಿ ಜಿ.ಎಚ್.,Thippareddy GH
1026,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂ ದಾಖಲೆಗಳು ಮತ್ತು ಭೂ ಮಾಪನ,Land records and land measurement,ತುಕಾರಾಂ ಇ.,Tukaram E 
1027,22/07/2013,ಅರಣ್ಯ,Forest,ರೈತರನ್ನು ಒಕ್ಕಲೆಬ್ಬಿಸುತ್ತಿರುವ ಕುರಿತು,About plowing farmers,ತುಕಾರಾಂ ಇ.,Tukaram E 
1028,22/07/2013,ಸಣ್ಣ ನೀರಾವರಿ,Small irrigation,ಕೆರೆ ಅಭಿವೃದ್ಧಿ,Lake Development,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1029,22/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಅತಿಕ್ರಮಣ ಸಕ್ರಮ,Forest encroachment law,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1030,22/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಬೆಳೆಸುವುದು,Developing Forests,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1031,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂ ಮಾಪನ ಪ್ರಕರಣಗಳು,Land Scale Cases,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1032,22/07/2013,ಅರಣ್ಯ,Forest,ಅರಣ್ಯ ಅತಿಕ್ರಮಣ,Forest encroachment,ವಿಶ್ವೇಶ್ವರ ಹೆಗಡೆ ಕಾಗೇರಿ,Vishweshwara Hegde Kageri
1033,22/07/2013,ಕಂದಾಯ,Revenue,ಭೂಕಂಪ ಪೀಡಿತ ಗ್ರಾಮಗಳ ಸ್ಥಳಾಂತರ,Displacement of seismic affected villages,ಯಶವಂತರಾಯ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashavaraya Vitthal Gowda Patil
1034,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಭೀಮಾ ನದಿ ನೀರು,Bhima river water,ಯಶವಂತರಾಯ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashavaraya Vitthal Gowda Patil
1035,22/07/2013,ಕಂದಾಯ,Revenue,ಆಸರೆ ಮನೆಗಳು,Support homes,ಯಶವಂತರಾಯ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashavaraya Vitthal Gowda Patil
1036,22/07/2013,ಕಂದಾಯ,Revenue,ವೃದ್ಯಾಪ್ಯ ವೇತನ,Old wage,ಯಾವಗಲ್ ಬಿ.ಆರ್.,Vaggal BR
1037,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಮಲಪ್ರಭಾ ನೀರಾವರಿ ಯೋಜನೆ,Malaprabha Irrigation Project,ಯಾವಗಲ್ ಬಿ.ಆರ್.,Vaggal BR
1038,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ನರಗುಂದ ವಿಭಾಗ - ಕಾಲುವೆ,Narangunda Division - Canal,ಯಾವಗಲ್ ಬಿ.ಆರ್.,Vaggal BR
1039,22/07/2013,ಭಾರಿ ಮತ್ತು ಮಧ್ಯಮ ನೀರಾವರಿ,Heavy and medium irrigation,ಏತ ನೀರಾವರಿ ಯೋಜನೆಗಳು,Where irrigation projects are,ಯಾವಗಲ್ ಬಿ.ಆರ್.,Vaggal BR
1040,23/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,KIADB ಯಿಂದ ಜಮೀನು ನೀಡುವುದು,Land from KIADB,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ.ಎಂ.,Shivalinge Gowda KM
1041,23/07/2013,ಆಡಳಿತ ಸುಧಾರಣೆ,Governance reform,ಕಲಂ 371ರಲ್ಲಿ ಬಿಜಾಪುರ ಜಿಲ್ಲೆಯನ್ನು ಸೇರ್ಪಡೆ ಮಾಡುವುದು,Insert Bijapur District in Article 371,ಯಶವಂತರಾಯ ವಿಠ್ಠಲಗೌಡ ಪಾಟೀಲ್,Yashavaraya Vitthal Gowda Patil
1042,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಜಿ. ಕ್ಯಾಟಗರಿಯಲ್ಲಿ ನಿವೇಶನ ಹಂಚಿಕೆ,G. Site distribution in category,ಅಪ್ಪಚ್ಚು ರಂಜನ್ ಎಂ.ಪಿ.,Appachan Ranjan MP
1043,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರು ಅಭಿವೃದ್ಧಿ ಪ್ರಾಧಿಕಾರ ಮತ್ತು ಖಾಸಗಿ ಡೆವಲಪರ್ಸ್ ನಿಷೇಧ,Bangalore Development Authority and Private Developers Ban,ಪುಟ್ಟಣ್ಣಯ್ಯ ಕೆ.ಎಸ್.,Puttannaiah K S 
1044,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಹೊಸ ಸರ್ಕಾರಿ ಪಶು ಆಸ್ಪತ್ರೆಗಳ ಮಂಜೂರಾತಿ,Sanction of new government veterinary hospitals,ಪಾಟೀಲ್ ಎ.ಎಸ್.,Patil AS
1045,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪಂಪ್ ಸೆಟ್ ಕೊಳವೆ ಬಾವಿ ಸಕ್ರಮಗೊಳಿಸುವುದು,Pump Set Pipe Well Organizing,ಸುಧಾಕರ ಲಾಲ್ ಪಿ.ಆರ್.,Sudhakar Lal PR
1046,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಪೆರಿಫೆರಲ್ ರಿಂಗ್ ರಸ್ತೆ ನಿರ್ಮಾಣ,Peripheral ring road construction,ವಿಶ್ವನಾಥ್ ಎಸ್. ಆರ್.,Vishwanath S  R 
1047,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬೆಂಗಳೂರು ನಗರ ನಿವಾಸಿಗಳ ಆಸ್ತಿ ದಾಖಲಾತಿ,Property registration of Bangalore city residents,ಸುರೇಶ್ ಕುಮಾರ್ ಎಸ್.,Suresh Kumar S
1048,23/07/2013,ಇಂಧನ,Fuel,ರೈತರಿಗೆ ಟಿ.ಸಿ. ಒದಗಿಸುವುದು,Farmers T.C. Providing,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ.,Krishnappa M T 
1049,23/07/2013,ಗಣಿ ಮತ್ತು ಭೂವಿಜ್ಞಾನ,Mine and geology,ರಾಜ್ಯದಲ್ಲಿ ಲಭ್ಯವಿರುವ ಕಬ್ಬಿಣದ ಅದಿರು,Iron ore available in the state,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
1050,23/07/2013,ನಗರಾಭಿವೃದ್ಧಿ,Urban development,ಬಳಚರಂಡಿಯಿಂದ ಬರುವ ನೀರನ್ನು ಸಂಸ್ಕರಿಸುವ ಬಗ್ಗೆ,Treatment of water from the stomach,ತಿಪ್ಪಾರೆಡ್ಡಿ ಜಿ.ಎಚ್.,Thippareddy GH
1051,23/07/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುಚ್ಚಕ್ತಿ ಉತ್ಪಾದನೆ,Electricity generation,ಬಸವರಾಜ ರಾಯರೆಡ್ಡಿ,Basavaraja Royareddy
1052,23/07/2013,ಇಂಧನ,Fuel,ರಾಜೀವ್ ಗಾಂದಿ ಗ್ರಾಮೀಣ ವಿದ್ಯುದೀಕರಣ ಯೋಜನೆ,Rajiv Gandhi Rural Electrification Project,ಬೋಪಯ್ಯ ಕೆ.ಜಿ.,Bopayya KG
1053,23/07/2013,ಗೃಹ,Home,ರಾಜ್ಯದಲ್ಲಿ ಹೆಚ್ಚುತ್ತಿರುವ ರೇಪ್ ಪ್ರಕರಣಗಳು,Increasing rape cases in the state,ಜೊಲ್ಲೆ ಶಿಶಿಕಲಾ ಅಣ್ಣಾಸಾಹೇಬ್,Joel Shishikala Annasaheb
1054,23/07/2013,ಪಶು ಸಂಗೋಪನೆ,Animal husbandry,ಪಶು ಚಿಕಿತ್ಸಾಲಯ ಮಂಜೂರಾತಿ,Veterinary Clinic Approval,ಐಹೊಳೆ ಡಿ. ಮಹಾಲಿಂಗಪ್ಪ,Aihole D  Mahalingappa
1055,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಒಳಚರಂಡಿ ವ್ಯವಸ್ಥೆ ಹದಗೆಟ್ಟಿರುವುದು,The drainage system is deteriorating,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1056,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಕುಡಿಯುವ ನೀರಿನ ವ್ಯವಸ್ಥೆ,Drinking water system,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1057,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮುಖ್ಯ ರಸ್ತೆಗಳಲ್ಲಿ ಟ್ರಾಫಿಕ್ ಸಮಸ್ಯೆ,Traffic problem on main roads,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1058,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಮೆಟ್ರೋ ಕಾಮಕಾರಿ,Metro comic,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1059,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಬಹುಮಹಡಿ ಕಟ್ಟಡಗಳನ್ನು ನಿರ್ಮಿಸಲು ವಿಧಿಸಿರುವ ಮಾನದಂಡ,The criteria for building multi-storey buildings,ಅಖಂಡ ಶ್ರೀನಿವಾಸಮೂರ್ತಿ ಆರ್.,Akhand Srinivas Murthy R 
1060,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಯು.ಜಿ.ಡಿ. ಕಾಮಗಾರಿ ವಿಳಂಬ,UGD Work Delay,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1061,23/07/2013,ಗೃಹ,Home,ಪೋಲಿಸ್ ಠಾಣೆಗಳಿಗೆ ವಾಹನಗಳ ಕೊರತೆ,Lack of vehicles for police stations,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1062,23/07/2013,ಇಂಧನ,Fuel,ಹೊಸ ಕೆ.ಇ.ಬಿ. ಸಬ್ ಸ್ಟೇಷನ್ ಗಳ ಸ್ಥಾಪನೆ,New KEB Establishment of substations,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1063,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ವಸತಿ ಮತ್ತು ವಾಣಿಜ್ಯ ಉದ್ದೇಶಗಳ ಕ್ರಿಯಾ ಯೋಜನೆ,Action Plan for Real Estate and Commercial Purposes,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1064,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ಖಾಲಿ ಇರುವ ವಿವಿಧ ವೃಂದದ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Fill out various vacancies for vacancies,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1065,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ನಿರುದ್ಯೋಗ ಸಮಸ್ಯೆ ನಿವಾರಣೆ,Troubleshooting the problem of unemployment,ಆನಂದ ಸಿಂಗ್,Ananda Singh
1066,23/07/2013,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರ,Law and Parliamentary Affairs,ಮೌಲ್ಯಮಾಪನದಲ್ಲಿ ಅವ್ಯವಹಾರ,Assessment in evaluation,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
1067,23/07/2013,ಇಂದನ,From now on,ಉತ್ಪಾದನೆಯಾಗುತ್ತಿರುವ ವಿದ್ಯುತ್ ಪ್ರಮಾಣ,The generating power rate,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
1068,23/07/2013,ಗೃಹ,Home,ಗ್ರಾಂಗ್ ರೇಪ್ ಗಳ ಹತೋಟಿಗೆ ಕೈಗೊಂಡಿರುವ ಕ್ರಮ,The action taken under the control of the Grang Rape,ಅಶೋಕ್ ಆರ್.,Ashok R 
1069,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ರಸ್ತೆಗಳು ಗುಂಡಿ ಬಿದ್ದು ಹಾಳಾಗಿರುವುದು,Roads are pelted and damaged,ಅಶೋಕ್ ಆರ್.,Ashok R 
1070,23/07/2013,ನಗರಾಭಿವೃದ್ದಿ,Urban Development,ರಸ್ತೆ ಚರಂಡಿಗಳು ಅವ್ಯವಸ್ಥೆಗೊಂಡಿರುವುದು,Disruption of road sewers,ಅಶೋಕ್ ಆರ್.,Ashok R 
1071,23/07/2013,ಗೃಹ,Home,ನಕ್ಸಲ್ ಹಾವಳಿ,Naxal swearing,ಅಶೋಕ್ ಆರ್.,Ashok R 
